stage,axial,blastomeres,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,11.1,51.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.77,0,0,35.73,0,5.86,0,0,0
 10-12,0,0,0,0,0,19.71,0,20.37,0,0,0
 14-21,0,0,0,0,0,5,0,0,0,0.86,0
 24-34,0,0,1.18,0,0,6.42,1.66,0,1.08,0,1.59
 36-46,0,0,1.82,0,1.64,14.26,0,0,0,0,4.34
 48-58,0,0,1.93,0,0,6.43,0,0,0,0,1.14
 60-70,0,0,0,0,0,8.31,0,0,0,0,0
 72-82,0,0,0,0,1.64,3.99,0,0,0,0,0
 84-94,0,0,0,0,4.57,2.6,0,0,0,0,1.7
 96-106,0,0,0,0.72,0,7.93,0,0,0,0,0
108-118,0,0,9.19,0,0,2.35,0,0,0,0,0
120,0,0,0,3.1,0,16.31,0,0,0,0,0
