stage,blastomeres,erythrocytes,eye,fast_muscle,glial,heart,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,spinal_cord
  5-6,10.38,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,17.65,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,25.21,0,0,0
 14-21,0,0,0,0,0,1.26,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.39,0,0,0,0
 48-58,0,0,1.17,0,0,0.52,0,0,0,1.47,0,0,3.09
 60-70,0,0,0,1.42,0,0,0,0,0,1.19,0,0,0
 72-82,0,0,0,0,1.29,0,0,0,0.77,0.8,1.07,0,0
 84-94,0,0,0,0,0,0,0,0.69,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.11,1.27,2.05,0,0
108-118,0,3.67,0,0,2.77,0,0.53,0,0,0,0.72,0.54,0
