stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pgc,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0,0,0
 14-21,0,1.76,1.36,0,0,0,0,0,1.84,0,0,0,0,1.73,0,1.13,3.31,0,0,0.91,0,0.89,0,0,2.45
 24-34,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,4.19,0.95,0,0,0,0,0,0,0
 60-70,0,0.66,0,0,0,0.73,0,0,0,0,0.8,0,0,0.65,0,0,0,1.15,2.37,0,0,0,0,0,10.45
 72-82,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,2.86
 84-94,0,1.33,0,0,0,0.84,0,0,0,0.62,0,0,15.04,0,0,2.2,3.51,0,0,0,0,0,0,0,2.17
 96-106,0,1.69,0,0,0,1.82,0,0,0,0,0,0,0,1.66,0,0,6.62,1.62,6.73,0,0,0,0.83,0.61,3.81
108-118,0,0,0,1.14,0,0,3.21,0,0,0,0,2.89,0.68,0,0,0.43,5.59,0,4.04,0,0,0,0,0,11.26
120,0,1.57,0,0,1.31,0,2.43,0,0,0,0,0,0,0,7.47,1.93,19.53,0,14.94,0,0,0,0,0,0
