stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,spinal_cord,visceral_smooth_muscle
  5-6,12.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.31,0,0,0
 10-12,0,0,0,0,0,0,0,10.76,0,0,0
 14-21,0,0,0,1.61,0,0,1.05,0,0,0,0
 24-34,0,0,0,0,0,0,0,11.24,1.33,1.97,0
 36-46,0,0,0,0,0,0,0,24.77,0,0,0
 48-58,0,0,0,0,0,0,0,37.05,0,3.89,0
 60-70,0,0,0,0,11.51,0,0,115.95,0,17.56,0
 72-82,0,0,0,0,11.05,0,0,117.75,0,15.65,0
 84-94,0,0.7,1.17,0,14.68,1.59,0,102.16,0,0.64,0.63
 96-106,0,0,0.71,0,29.84,0,0,68.22,0,2.27,0
108-118,0,0,1.2,0.97,19.28,1.76,0,109.44,0,7.43,0
120,0,0,0,0,40.71,0,0,125.13,0,14.41,0
