stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,melanocytes,mesenchyme,neural,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,43.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0
 24-34,0,0.63,0,0,0,0,0.78,0,0.91,0.61,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.16,2.77,1.58,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.46,0,0.39,0,0,0,0.38
 60-70,0,0,1.65,0,3.35,0,0,1.38,0,0.57,0,0,3.17,0
 72-82,0,0.79,5.3,0,0,0,0,0,0.91,0,0,0,0,0
 84-94,0,0.82,0,0,0,0,0,1.26,1.28,3.56,0,0.78,0,0
 96-106,0,0,0,8.29,0,3.95,0.65,0,0,1.8,0,0,1.82,0
108-118,0,0,1.94,0,0,0,0,2.96,0,0,0,0,0,0
120,0,2.9,0,0,0,0,0,0,3.34,2.32,0,0,0,0
