stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,3.38,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,0,0,0,12.51,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,3.12,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,0,0,6.34,0,0,0
 24-34,0,0,0,0.82,0,0.71,0,0,0,1.4,1.19,0,0,0,0,0,0,0,2.14,0,0,0,26.4,0,0,0,0,0,0,0,2.3,0,1.44,0
 36-46,0,0,0,1.17,0,0,0,0,0,0,0,0,17.67,0,0,0,0,0,9.16,0,0,0,53.65,0,0,0,0,0,1.11,0,5.16,0,0,0
 48-58,0,0,0,3.65,1.48,8.19,0,5.12,0.76,4,0,0,14.46,0,0,0,0,0,49.83,0,0,0,105.73,0,0,0,0,2.13,1.13,0,6.98,0,0,0
 60-70,0,0,0,0.76,0,76.88,0.94,0,0,2.57,0,1.47,10.03,0,0,0,0,0.73,63.23,0.62,0,0,167.76,0,0,0,0,0,2.27,0,32.76,0,0,0
 72-82,0,0,0,6.38,0,425.2,0.51,0,1.28,8.58,0,0,5.95,2.24,0,0,0,0,128.95,0,0,0.6,285.3,0,0,0,0,0,0.49,0,39.93,0,0,5.04
 84-94,0,0,0,3.97,0,316.07,0,0,0,14.85,0.86,0,14.3,2.9,0,0,0,13.86,161.74,0,0,3.28,166.8,0,0,3.29,0,0,0,0.62,29.85,0,0,0
 96-106,0,0,0,0.85,1.77,669.61,0,0,0,21.23,0,0,27.38,0,0,6.86,0,0,137.08,0,0,0.87,219.42,0,0,1,0,2.42,0,0,21.94,1.74,0.82,0
108-118,0,0,0,5.35,0,359.75,0,1.87,0,6.45,1.54,1.35,13.32,0,1.01,0,2.4,0,139.78,0,1.27,1.28,173.74,5.25,0,0,0,0,3.6,0,14.63,0,0,0
120,0,0,0,2.28,8.55,477.24,0,0,4.21,71,1.79,0,47.26,4.21,0,1.88,0,0,211.42,0,0,1.49,543.82,0,3,0,0,4.64,3.15,1.63,1.19,0,1.25,0
