stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.85,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,14.23,0,0,0,0,0,0,0,0,87.86,0,0,0,0,9.43
 24-34,0,0,0,9.72,0,0,95.42,0,0,0,130.1,0,1.06,1.36,0,0.89,2.03,3.78,0,2.96,21.88,0,0,3.89,1960.99,0.67,0,0,0,15.13,0,0.95,0.9,4340.94,0,0,15.04,0,404.54
 36-46,0,0,0,3.49,0,0,304.08,2.22,4.33,4.17,1792.86,0,0,0,3.84,18.05,0,0,0,0.95,88.72,0,1.37,34.61,5450.06,8,6.53,1.35,0,18.04,2.02,0.88,0,12784.47,0,0,7.86,0,1386.28
 48-58,0,0,0,51.92,4.68,0,802.43,0.67,9.66,6.91,6182.31,0,0,3.6,15.9,0,54.58,0,3.83,4.17,638.45,2.8,0.6,185.85,4837.24,16.5,6.73,2.53,0,25.71,0,1.87,0,13881.6,0,0.84,10.45,0,2665.42
 60-70,0,2.52,0,27.01,6.08,0,1005.23,2.04,13.57,30.91,11720.79,0,0,3.99,28.85,6.15,15.34,9.14,15.58,2.38,2338.11,2.07,2.61,421.38,1930.52,7.26,5.19,12.73,28.85,19.08,9.88,0,0,3918.71,0,16.09,16.84,0.9,2964.42
 72-82,0,0,0,89.49,37.95,0,1788.19,6.85,4.11,96.38,13492,1.99,0,1.5,19.47,0.56,53.7,4.25,16.42,8.09,4494.98,0.51,11.08,754.91,1465.2,1.1,5.95,8.95,45.34,22.82,0,3.15,0,918.42,0,33.73,12.8,9.99,2785.3
 84-94,0,0,0,49.93,11.83,0,2435.41,6.22,6.38,34.83,8918.43,6.06,4.92,3.72,9.04,1.28,34.85,0,8.34,0,3960.78,11.18,31.82,491.78,1164.26,5.34,8.27,5.52,7.91,49.12,8.37,7.65,0,696.61,11.64,14.9,14.46,34.1,1799
 96-106,1.12,2.12,1.03,174.66,75.29,9.55,3174.05,9.55,31.11,75.11,9885.23,14.15,0,5.06,38.32,7.69,14.6,7.87,32.77,0,7604.5,12.47,25.61,711.65,1710.14,11.33,13.63,16.68,130.29,112.78,7.73,9.08,0,106.98,0.83,43.79,22.53,22.66,1855.34
108-118,0,0.84,0.98,92.23,26.4,5.91,4153.33,0.67,3.82,115.91,8605.07,8.33,0,7.32,7.94,4.14,29.6,4.34,15,3.71,9960.2,12.15,57.54,842.54,1808.14,10.97,3.64,10.39,157.52,70.44,6.97,0,0,154.18,2.46,84.52,18.03,4.47,2103.79
120,0,0,0,135.77,50.81,7.58,3093.09,15.85,7.79,169.21,17012.8,8.16,0,0,60.15,22.9,11.63,3.69,95.62,0,15078.56,0,337.68,998.51,2562.31,5.67,10.71,3.71,289.65,43.27,10.68,0,0,173.93,0,114.36,11.03,30.95,772.68
