stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17,0,0,0,0,0,0,0,0,0
 14-21,1.04,1.99,0,0,1.45,0,0,0,0,0,0,3.64,0,0,1.85,13.44,0,0,0,1.42,1.1,4.72,0,0,0
 24-34,0,0.68,0,2.46,0,0,1.97,0,0,0.86,0,0.9,0,0,2.77,24.07,0,0,0,0,0,3.87,1.2,0,0.69
 36-46,0,0,0,4.08,3,0,0,0,0,0,0,2.93,0,0,0.97,24.69,4.05,0,0,3.41,0,6.04,0,0,0
 48-58,0,0,0,5.61,3.58,0,0,0,0,0,0,1.55,0,0,0.53,3.01,0,0,0.4,0,0,0,0,0,0
 60-70,0,0.72,0,0,0,0,0,0,0,0,0,3.32,0,0,1.17,8.45,0,0,0,0,0,0,0,0,0
 72-82,0,3.17,0,3.07,1.06,0.88,0.5,0,0,0,0,5.91,0,2.92,0,5.07,0,0,0,0.62,0,0,1.35,0,0
 84-94,0,3.32,0,6.19,1.2,1.7,0,0,0.62,0,0.83,5.9,5.51,0,0,26.79,0,0,0,0,0,0,1.14,0,0
 96-106,0,0.67,1.8,2.73,0,0,0,0.95,0,0,0,3.48,0,0,1.47,1.51,0,0,0,3.49,0,1.99,0,0.87,0
108-118,0,0.45,0,5.07,1.55,0,0,0.95,0,0,0,0.89,0,0,0,0.91,2.23,1.81,0,0.69,0,0,0,0,0
120,0,2.62,5.94,0,8.52,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
