stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,59.75,735.8,0,0,0,0,0,0,0,0,0,0
  5-6,44.8,552.2,0,0,0,11.32,35.01,0,9.43,23.66,0,0
  7-9,3.94,12.77,0,7.88,0,58.5,193.93,5.39,99.54,0,0,0
 10-12,0,0,0,0,0,0,20.73,18.26,22.4,0,0,0
 14-21,0,0,0,0,1.25,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.38
 48-58,0,0,0,0,0,0,0.92,5.31,0,0,0,0
 60-70,0,0,3.54,18.08,0,0,0,0,0,0,0.82,0
 72-82,0,0,0,0,0,0,1.3,0,0,0,0,0
 84-94,0,0,0,1.37,0,0,0,0,0,0,0,0
108-118,0,0,1.68,0,0,0,1.02,0,0,0,0,0
120,0,0,0,0,0,0,11.78,0,0,0,0,0
