stage,eye,heart,mesenchyme,mural_cell,neural
 24-34,0,0,1.95,0,0
 36-46,0,2.25,0,0,1.89
 48-58,0.41,0,0,0,0
 60-70,0,0,0.78,0,0
 72-82,0,0,0,0.75,0
 96-106,2.18,0,0,0,0
108-118,0,0,1.28,0,6.47
