stage,blastomeres,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,94.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0
  7-9,0,0,0,11.44,0,0,0,0,0,0,0,0,31.22,0,5.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0,0,0,0,3.78,0,0,0,0,0,0
 14-21,0,0,0,1.72,0,0,0,0,0,2.51,0,0.97,9.65,0,0,0,0,0,1.43,0.98,7.22,0,0,0
 24-34,0,0,0,0,0,0.76,0,0,0,0,0,0,49.7,6.86,0,0,0.95,0,0,0,16.81,0,0,0
 36-46,0,0,0,0,2.93,0.57,0,0,0,6.43,0,0.73,102.67,3.79,0,0,2.53,0,0,0,33.38,0.62,0,0
 48-58,0,0,0,8.33,1.02,0,0,0,0.6,0.83,0,0,174.91,2.48,0,0,0,0,0,0,30.99,0,0,0
 60-70,0,0,0,33.52,7.38,0,0,0,0,0,0,0,239.9,1.16,0,0,0,0,0,0,45.38,0,0,6.89
 72-82,0,6.79,5.46,13.8,2.31,0,0,0,0,1.33,0,0,174.94,0.7,0,0,0,0,0,0,13.5,0,0,0
 84-94,0,0,0,31.4,0,0,0,0.65,0,0,1.07,0,118.71,0,0,0,0,0,0,0,14.96,0,0,0
 96-106,0,0,0,14.06,2.92,0,0,0.74,0,5.95,0,0,77.78,3.82,0,1.33,0,0,0,0,4.4,0,2.2,0
108-118,0,1.74,0,11.68,6.87,0,0.47,0,0,0,0,0,89.6,2.17,0,0,0,0,0,0,3.09,0,0,0
120,0,0,0,7.21,7.03,0,0,0,0,3.62,0,0,96.02,15.75,0,0,0,0,0,0,5.94,0,0,0
