stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2.01,0,0,0,0,0,1.26,1.83,3.48,0,0,0,0,0
 24-34,0,2.57,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.99,0,0,2.35,0.74,0,0,0,14.33,0,0,0,0,0
 36-46,0,12,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0.7,254.98,4.91,0,2.33,0,0,0,0,22.69,0,0,0,0,1.19
 48-58,0,11.28,3.99,0,201.04,1.55,0,19.11,0,0,3.82,0,0,0,0,1.05,0,0,0.51,734.87,0,0,0,3.65,0.38,0,0,47.88,0,0,0,0,0
 60-70,0,12.9,0,0,1261.56,0.65,0.68,4.4,0,4.74,0,9.69,1.57,2.6,0,20,0,0,0,1247.54,0,0,12.48,2.85,0,0,0,56.36,0,0,0,0,0
 72-82,0,14.99,0.86,0,1763.43,0.6,0,37.25,0.56,0,0,0.66,0.79,0,0,26.78,0,1.11,0.78,1779.7,0,0,6.29,0.53,1.18,0,0,56.13,3.98,0,0.64,0,0
 84-94,0,9.23,0,0,1029.13,0,0,29.76,0.62,0.79,0,3.46,1.27,0,0,9.41,0,3.37,0,1080.89,0,1.11,1.93,1.52,0,0,0,36.56,0,0.84,3.48,0.57,0
 96-106,1.08,7.21,2.27,0,716.94,0,0,24.12,0,0.95,0,0,2.06,0,0,18.7,0,0,0,981.18,0,0,6.03,6.28,0,0,0,15.24,4.1,0,3.41,0,0
108-118,0,12.73,0,0,654.35,0,0.53,26,1.37,0.54,0,0,2.21,0,0,13.59,1.41,0,0,1031.93,0,1.07,3.63,6.3,0,0,0,0.7,2.02,0,2.59,0,0
120,0,11.99,0,13,806.21,0,0,5.89,0,0,0,3.86,0,0,1.51,6.4,0,0,0,1548.32,0,0,19.03,2.01,0,0,0,11.22,1.19,0,1.1,0,0
