stage,axial,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,131.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,267.81,0,3.16,0,0,0,0,0,0,0,0,0,0,3.02,0,0,11.72,7.61,0,0,2.08,0,0,1.93,0,1.04,0,0,0,0,0
 24-34,0,0,104.96,0,0,0,0,0.61,0,0,0,0,0,0,0.65,50.06,0,0,157.62,26.44,1.76,0,0,0,0,0,0,2.26,0,0,0,0,0
 36-46,0,0,56.04,0,0.71,0,0,0.8,0,0,0,0,0,0,0,62.03,0,0,213.44,24.93,0,0,0,0,0,0,0.58,4.73,0,2.46,0,0,0
 48-58,0,0,43.9,0,6.05,0.9,0,4.79,0.65,0,0,0,0,1.57,0,107.3,0,0,93.83,23.13,0,0,0,0,0,3.76,0,0,0,0.61,0,0,0
 60-70,0,0,44.35,0,10.33,0,0,0,0,0,0,0,0,0,0,66.88,0,0,45.93,3.42,0,0,0,0,0,0,0,0,0,0.9,0,0,0
 72-82,0,0,59.39,0,18.43,0,0,11.26,0,0.65,0.66,1,0,0,0,147.8,0,0,51.25,16.21,0,0,0,0.56,6.61,0,0,0,0,5.7,4.36,0,0
 84-94,2.46,0,96.52,0,10.06,0,0,4.04,0.81,0,0,0,0.62,0,0,83.97,0,0,40.39,3.82,0.56,0,0,0,0,0,0,0,2.79,5.37,0,4.44,0
 96-106,0,0,104.2,0,5.23,0,0,15.82,0,1.54,0,0.87,0,0,0,101.57,0,0.65,35.45,19.71,0,0,0,0,0,0,0,0,11.4,3.03,0,0,6.58
108-118,0,0,76.6,1.18,0.7,0,0,5.01,0,0.91,2.04,2.62,0,0,0,123.19,0.94,0,29.07,15.43,0,0.44,0,1.93,0,0,0,0,12.77,12.91,0,0,0
120,0,0,89.64,10.83,14.33,0,2.58,2.63,0,0,0,4.15,0,0,0,125.49,0,0,20.27,29.78,0,0,0,2.48,0,0,0,0,5.8,0,0,0,0
