stage,axial,blastomeres,endoderm,eye,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,0,64.01,0,0,0,0,0,0,0,11.1,0,0,0
  5-6,15.43,21.44,0,0,0,14.1,0,0,0,0,0,0,0
  7-9,10.61,0,5.28,0,0,23.71,4.19,0,34.72,0,0,0,0
 10-12,0,0,5.76,0,0,0,5.03,0,10.94,0,4.94,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.65,0
 24-34,0,0,0,0,0,1.1,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.69,2.39,0,1.48,0,0,0,0,1.98
 48-58,0,0,0,0,0,2.28,0,0,0,0,0,0,0
 60-70,0,0,0,0.84,0,0.76,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.27,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.63,0,0,0,0,0
120,0,0,0,0,0,6.78,0,0,0,0,0,0,0
