stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.8,28.81,18.3,0,32.46,0,0,0,53.38,2.56,2.81,0,0,0,0,0,2.31,25.41,0,0,25.37,431.5,1.95,4.12,7.84,7.65,0,8.89,0.91,34.16,76.68,64.13,211.36,0,0,4.8,0,0
 24-34,1.6,3.82,19.8,3.23,0,74.61,0,0,1.21,70.4,0,3.71,0,0,0.76,2.07,1.88,4.72,68.91,1.4,0,15.61,1009.81,2.36,31.83,11.55,0,0.99,25.01,0,0,48.66,14.16,271.41,0,0,5.28,0,22.04
 36-46,0,0,16.69,0,0,76.04,3.38,1.04,0.72,72.4,0,0,1.31,0,0.71,0.77,0.57,8.74,48.34,0,0,10.58,940.29,1.95,75.88,2.06,0,0,31.38,0,0,36.87,0,212.99,0,0,4.92,0,5.06
 48-58,0,0.43,16.89,0,0,184.01,0,1.99,3.2,81.27,4.53,4.65,1.48,2.32,1.67,0.96,0.7,4.14,89.24,0,2.63,17.68,505.57,0.88,37.63,14.7,0,0,21.77,0,0,29.7,0,151.42,0,0.37,5.65,0,0
 60-70,0.57,0,18.26,0,0,192.28,0,3.89,2.3,54.12,4.74,0,2.65,0.86,1.2,0.95,1.72,0,68.9,0,4.72,11.25,390.74,0.75,39.3,6.51,0,0,20.36,0,0,15.35,0,67.41,1.72,0.61,7.1,0,0
 72-82,1.11,0.56,8.32,0.5,0,123.76,0,2.51,1,50.5,4,0,6.1,8.48,0.58,4.65,0,0,104.41,0.58,4.16,22.94,182.31,0,55.18,16.53,0,2.36,9.01,0,0,7.67,0,37.84,2.02,3.89,11.91,2.52,13.64
 84-94,3.21,0,19.65,0,1.24,72.81,2.79,2.75,2.73,35.97,4.87,4.59,6.61,1.67,1.28,4.59,0,0.68,135.47,1.73,11.71,12.68,132.18,0.62,66.07,6.97,0,0,39.05,0,0,15.38,0,39.08,0.74,0,8.86,0.75,4.21
 96-106,3.54,0,14.71,2.63,0,93.13,0.71,0.62,3.66,62.58,12.5,4.02,10.07,4.51,12.89,2.35,0,0,64.09,0.68,0.7,7.93,154.33,0,85.5,3.79,0,1.17,34.29,0,0,8.41,0,17.83,4.22,1.3,15.53,6.64,3.2
108-118,2.18,0,30.17,1.23,6.3,60.09,1.02,3.71,3.92,46.06,5.15,1.07,7.16,0.43,3.7,0,0.55,4.52,79.76,0,14.71,8.25,153.5,0.46,93.76,3.75,0,1.6,27.36,0,0,12.79,0,18.91,1.2,0.63,11.03,1.3,15.2
120,0,1.28,50.79,6.8,3.49,70.34,0,9.57,0,92.52,3.89,0,29.36,12.99,1.74,4.41,0,0,114.69,18.12,4.29,15.2,218.54,0,64.25,1.98,0,0,27.22,0,0,22.3,0,0,0,0,14.16,0,0
