stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,526.12,12657.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0
  5-6,554.31,15951.01,0,0,0,0,0,0,0,0,55.46,0,0,0,0,0,0,0,0,0,0,0,374.91,16.8,0,0,117.47,0,151.63,0,0,0,0,0,0,0,0,0,0
  7-9,85.86,491.05,271.8,0,0,1657.07,0,0,0,0,126.43,0,0,0,0,0,0,0,0,0,0,0,12900.98,191.29,0,0,2214.13,0,15.16,23.31,0,0,0,0,0,0,0,0,0
 10-12,0,112.39,205.07,0,6.65,480.23,0,0,0,0,24.85,0,0,0,0,0,0,0,0,0,0,0,3606.07,41.81,0,0,945.26,0,5.07,9.75,18.25,70.14,0,5.41,0,0,0,0,0
 14-21,0,0,4.04,52.73,7.11,32.65,0.88,0,11.83,2.94,0,0,0,0.81,0,0,1.76,0,40.55,0,0,32.7,613.54,6.3,0,7.02,9.1,0,9.78,0,55.32,2.57,2.2,37.79,176.16,0,0,1.16,0
 24-34,0,0,2.03,17.5,0,68.31,0.8,0,17.27,0,0,3.44,0,0.68,7.49,2.72,0.86,0,64.91,0,0,30.85,926.42,2.3,5.54,12.22,0,0,18.92,0,0,0.61,0,4.23,196.5,0,0,24.88,0
 36-46,0,0,0.56,20.5,0.57,204.04,0,1.26,32.64,0,0,0,1.4,0,0,0,0,0,64.22,0,0.77,9.24,710.94,0.68,3.71,0.57,0,0,27.04,0,3.29,1.95,0,0,157.87,0,0,6.6,0
 48-58,0,0,0,4.32,0,241.93,4.81,0.46,43.03,0.97,0,0.42,0.41,0,0,0.38,0.39,0.5,48.27,0.59,1.4,17.18,388.73,4.1,0,0.81,0,0,30.26,0,0,0,0,0,63.16,0,0.37,6.99,6.15
 60-70,0,0,0,12.53,0,214.62,1.5,0,48.51,4.12,0,0,0.64,0,1.16,0.67,0,0.88,65.68,0,3.1,9.95,173.45,0,0,4.43,0,0,13.27,0,0,0,0,0,19.75,0,0.63,11.4,6.49
 72-82,0,0,0,7.46,1.19,71.24,0.99,0.93,35.21,2.25,0,0,0,0,0,1.05,0,0,49.61,1.01,3.31,7.04,132.57,0.53,0,4.3,0,0.71,2.23,0,0,0,0,0,6.44,0,0,3.09,0
 84-94,0,0,0,8.89,0,80.66,0,6.1,43.73,0.57,0,0.8,1.62,0.56,0,0,0,0,57.24,0.86,6.65,6.02,87.92,3.42,0,3.04,0,0,13.34,0,0,0.92,0,0,8.96,1.8,0,8.12,1.5
 96-106,0,0,0,9.64,11.05,50.99,0,1.05,51.75,1.5,0,0,0.83,1.9,0.85,0,0,0,42.19,0,1.16,4.26,77.8,0.58,0,3.01,0,0,9.88,0,0,0,0,0,0.84,0,1.2,14.74,0
108-118,0,0,0,10.56,0.58,66.81,1.31,0,46.32,3.95,0,0,2.77,0.55,0.63,0.66,0,0,30.49,0,0,5.5,120.25,0,0.81,0.91,0,0,12.7,0,0,0,0,0,0,0.43,0,9.16,0
120,0,0,0,8.39,2.37,55.45,0,0,70.72,1.02,0,0,4.93,0,25.94,0,0,0,43.58,0,0,20.79,189.04,0,0,7.87,0,0,7.92,0,0,0,0,0,13.59,0,0,18.16,0
