stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,44.22,1044.2,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,0,0
  5-6,186.28,3149.78,10.71,0,0,0,0,0,0,0,0,161.52,21.5,0,32.34,40.41,0,0,0,0,0
  7-9,43.31,74.95,99.57,0,0,249.77,0,0,83.97,0,0,2960.32,16.81,0,1036.2,0,15.42,0,0,0,0
 10-12,0,33.49,58.73,0,17.38,69.38,0,0,3.88,0,0,897.98,3.27,0,450.7,0,12.03,0,22.73,7.77,0
 14-21,0,0,0,1.63,0,3.49,0,2.12,0,4.63,2.81,124.19,2.26,0,6.69,1.14,0,10.53,0,8.23,40.37
 24-34,0,0,0,0.74,0,2.61,0,2.21,0,6.54,3.48,54.82,0,2.26,0,0,0,0,0,2.82,20.97
 36-46,0,0,0,1.25,4.5,3.2,0,0,0,12.99,1.85,48.33,0,0.58,0,0,0,0,0,0,7.67
 48-58,0,0,0,0,0,2.48,0,1.83,0,8.55,0,7.31,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.65,0,1.54,0,5.62,0.6,3.33,0,0,0,0,0,0,0,0,3.95
 72-82,0,0,0,0,0,0.54,0.75,0.63,0,6.48,0,2.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.84,3.2,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.47,2.16,9.34,0,4.02,0.62,1.75,0,1.05,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.28,6.29,0,1.18,0,2.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,12.35,0,0,0,6.39,0,0,0,0,0,0,0,0,0
