stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,paraxial_mesoderm
  3-4,0,132.85,0,0,0,0,0
  5-6,0,89.15,12.33,0,0,0,0
  7-9,3.63,0,0,0,14.49,28.7,10.72
 10-12,0,0,0,8.29,15.17,76.52,4.84
