stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1.14,8.23,33.18,3.67,0,43.18,0,0,0,4.38,0,2.46,0,0,0,0,0,0,17.09,0,29.46,274.14,9.34,0,2.92,6.7,0,24.45,62.24,3.42,6.01,79.13,76,0,0,0
 24-34,0,0.75,9.05,0,0,32.39,0,0.63,2.01,4.3,2.67,0,0,0.65,0,0,0,0,17.14,0,11.91,313.31,11,0,4.67,0,0,7.89,0,2.4,1.44,7.69,59.06,0,8.11,0
 36-46,0,1.11,0.62,0,0,15.19,0,0,0.85,14.02,0,0,0,0,0.57,0,0,0,23.73,0,3.21,149.25,0,2.79,1.1,0,0,0,0,0,1.37,0,42.09,0,0.78,0
 48-58,0,0,2.94,0,0,30.7,0,0,0.57,9.65,4.11,0,0,0,0.98,0,2.23,0,20.52,1.67,5.72,131.96,3.77,3.28,2.79,0,0,2.33,0,0,0,0,38.27,0,0.5,0
 60-70,0,0,0.65,0,0,62.87,1.39,0,0,25,1.82,0,0,0,0,0,0,0,26.91,0,4.71,118.07,0,0,0.59,0,0,0,0,0,0,0,19.3,0,1.24,0
 72-82,0,0,8.5,0.96,1.16,50.59,0,0,0.96,8.18,0.51,0,0,0,0,0,0,0,30.58,1.23,7.68,116.06,1.43,1.58,0.55,0,2.17,0,0,0.72,0,0,11.75,0.5,2.14,0
 84-94,0,0,2.38,0,1.48,34.04,0,0.86,1.89,7.19,2.01,0,0,0,0.6,3.73,0,0,35.65,0,1.51,70.96,2,0,0.78,0,0,0.81,0,0,0,0,0,0,0,2.23
 96-106,0,0,0.72,0,0,40.1,0,0,0,12.1,1.75,0,0.9,0,3.12,0,9.55,0,19.16,0,3.64,81.37,0,1.92,2.22,0,1.54,5.35,0,0,0,0,0,0,3.93,0
108-118,0,0.74,8.04,0,6.06,15.85,0,0.7,0.64,23.09,3.85,0,0,0,0.93,0.96,0,1.55,8.59,0,5.95,74.76,0,0,0.59,0,1.02,1.04,0,0,0,0,0,1.1,0,0.65
120,0,0,0,0,7.47,7.29,0,0,0,3.88,3.6,0,5.98,0,0,0,0,0,23.17,0,3.59,101.55,2.42,0,2.28,0,18.35,3.96,0,0,0,0,0,0,0,0
