stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,49.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,16.21,0,0,0,3.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,86.59,5.46,0,0,0,0,0,0,0,0
 14-21,0,6.33,1.27,0,0,31.91,1.15,0,0,0,0,1.07,0.84,10.59,0,3.47,4.84,2.37,0,1.46,17.8,0,85.38
 24-34,0,5.61,0,0,0,39.72,0,0,0,0.75,0,1.07,0,28.57,0,8.46,6.95,0,0,0,23.78,0.82,74.88
 36-46,0,0,0,1.17,0,40.41,0,0,0,0.76,0,0,0.57,33.02,0,17.41,2.01,0,1.21,0,9.09,0,38.74
 48-58,0,0,0,2.44,0,25.06,0,0,0.52,1.27,2.56,0,0,17.7,0,19.39,2.04,0,0,0,12.69,0,50.02
 60-70,0,0,0,0,0.76,35.35,0,0,0,0.66,0,4.79,0,7.26,0.69,11.28,2.57,0,0,0,1.65,0,28.33
 72-82,0,0,0,3.58,0,23.68,0,0,2.21,0.79,0,0,0,13.57,0,21.52,2.4,0,3.49,0,1.11,0,11.93
 84-94,0,0,0,2.42,0,22.04,0,0,0,1.48,0,0,0,2.78,0,44.28,3.7,0,2.71,0,7.98,0,12.51
 96-106,0,0,0,3.18,0,12.93,0,0.58,1.18,1.23,5.9,5.36,0,3.76,0,16.1,7.01,0,2.94,0,1.68,0,12.92
108-118,0,1.42,0,0.71,0,13.24,0,0,0.59,0.96,0,0,0,5.15,0,13.13,2.93,0,0,0,1.76,0,9.31
120,0,2.51,0,3.56,0,19.31,0,0,0,1.54,0,0,0,13.11,0,16.83,1.05,0,0,0,2.12,0,2.04
