stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,27.56,132.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.67,82.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,39.29,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,3.64,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,6.35,73.53,0.94,0,0,0,19.8,0,0,0,0
 24-34,0,0,0.82,1.13,7.57,0.72,0,0,0,7.2,0,1.69,444.2,0,0,0,0.92,69.8,0,0,17.62,0
 36-46,0,0,0,0,11.51,0,7.61,0,0,5.62,1.32,0,457.28,0,0,0,0,75.1,0,0,3.37,0
 48-58,0,0,0,0,18.75,0,13.65,0,0,17.67,0,0.55,204.89,0,0,0,0,47.36,0,0,1.43,0
 60-70,0,0,0,0,10.82,0,8.9,0.75,0,38.58,0,0,28.74,0.77,0,0,0,18.23,0,0,1.19,0
 72-82,0,0,0,0,3.66,0,1.45,0,0,18.67,0,0,17.83,0,0,1.41,0,2.47,0,0,4.1,0.73
 84-94,0,0,0,0,4.55,0,1.22,0,0,21.73,1.31,0,30.03,0,0,0,0,3.55,1.01,0.71,3.93,0.87
 96-106,0,0,0,0,2.07,0,3.49,1.9,0,18.48,0,1.48,16.4,0,0,1.96,0,0,0,0,6.01,0
108-118,0,0,0,0,5.62,0,0,0,1.79,24.01,0,0,19.15,0,0,0,0,0,0,0.96,4.51,0
120,0,0,0,0,3.59,0,5.62,0,0,11.44,0,4.71,18.45,0,0,0,0,0,0,0,6.51,0
