stage,blastomeres,epidermis,exocrine_pancreas,glial,mesenchyme,neural,paraxial_mesoderm
  3-4,50.26,0,0,0,0,0,0
  5-6,21.92,0,0,0,0,0,0
  7-9,0,0,0,0,0,18.84,20.75
 10-12,0,0,0,0,0,37.28,4.31
 14-21,0,0,0,1.02,0,0,0
 48-58,0,0,0,0,0,4.11,0
 96-106,0,1.24,1.14,0,0,0,0
108-118,0,0,0,0,0.98,0,0
120,0,0,0,0,9.83,0,0
