stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,xanthophores
 14-21,3.7,0,0.9,0,0,0,0,0,0,1.81,0,0,14.7,0.81,0,0,1.86,1.67,7.18,0,0
 24-34,1.33,2.49,20.75,0,1.08,2.67,0,0,0,7.44,0,6.95,200.15,0,0,0.64,3.71,0.72,31.96,5.4,0
 36-46,2.4,0,73.42,0,4.96,0,0,6.97,0,6.72,0.68,2.42,137.52,0,1.38,0,0,0,23.94,0,0
 48-58,9.72,0,109.96,3.06,4.7,0,0,0,0,17.2,0.42,1.83,138.84,1.33,1.25,0,0,0,2.37,2.12,4.47
 60-70,7.94,0,119.69,0,1.42,2.23,0,0,0,17.53,0,6.46,130.98,0,0,2.6,0,0,8.65,0.75,0
 72-82,0.84,0,23.78,0,2.06,0,0,0,0,11.93,0,0,42.73,0,0,0,0,0,0.58,6,0
 84-94,10.97,0,21.26,0,0.69,0,1.45,0,0,6.42,0,0.74,22.32,0,0,0,0,0,0,0.64,0
 96-106,0,0,4.58,0,1.67,0,0,0,0.78,2.12,0,0,5,0,0.57,0,0,0,0,0.88,0
108-118,0,0.57,8.82,0,2.52,0,0,1.52,0,1.5,0.92,0,13.69,0,0,0.89,0,0,0,5.62,0
120,0,1.84,16.77,4.44,5.39,0,0,2.75,0,7.9,0,1.04,15.65,0,0,0,0,0,0,1.44,0
