stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,5.74,133.84,0,76.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.73,0,0,27.9,0,0,0,73.76,0,0,0,0,0,0,0
 14-21,1.34,0,251.8,280.37,2.38,0,0,0,0,0.97,8.41,0,0,0,1.86,0,0,132.48,0,0,51.94,108.06,0,0,3.11,0,1.01,2.93,0,2.73,2.72,0,0,158.4,0,0
 24-34,0,0.61,78.68,38.34,4.39,0,0,2.66,0,0,25.99,0,0,0,46.78,0,0,79.09,0.74,0,17.82,41.12,2.84,0,0,0,0,0,0,2.73,5.37,0,0,592.4,0,0
 36-46,0,0,15.79,23.06,3.33,0,0,4.46,0,0,16.21,0,0,0,42.37,0,0,48.83,3.65,4.27,14.72,71.55,0,0.84,0,2.85,0,0,0,0,5.15,0,0,495.88,0,0
 48-58,0,0,15.91,1.13,6.13,3.88,4.37,0,0,0,28.17,0,0,0,35.95,1.52,3.43,40.57,0,2.4,2.9,66.66,0,2.42,0,0,0,0,0,0,1.93,0,0,384.64,0,4.85
 60-70,0,0,12.68,10.02,8.01,0,0,0,2.63,0,14.12,0,0,1.8,29.46,0,1.46,37.61,0,9.42,0,29.23,0,3.21,0,0,4.67,0,3.43,0,6.02,0,0,384.31,0.87,0
 72-82,0,0,8.2,0,4.45,0,0,5.8,3.24,2.26,1.24,0,2.21,4.11,52.02,0,0,51.34,0,8.51,1.17,22.8,0,0.66,0,1.05,0.57,0,0,0,0.73,0,6.07,759.99,5.83,0
 84-94,0,0,10.87,0.98,5.54,0,0.59,0,0,0,11.02,0.75,0,3.07,28.58,0,0,34.87,0,2.86,0,10.82,1.17,5.57,0,4.25,0,0,0,0,0,0,2.79,752.56,2.19,0
 96-106,0,0,7.62,1.41,2.19,0,0.59,1.02,1.47,2.54,5.43,0.78,0,19,42.19,0,0,18,0,0,1.37,23.14,0,0.65,0,0,0,0,2.71,0,5.78,0,5.71,673.36,1.94,0
108-118,0,0,14.52,0,11.2,0,1.19,9.76,0.63,0.47,5.74,0.42,0,34.49,39.07,0,0,21.67,0,4.99,2.1,36.59,0,0,0,0,0,0,1.28,0,0,0.44,0,614.37,3.23,0
120,0,0,3.13,0,0,0,0,4.21,2.21,0,17,0,0,44.6,14.88,0,0,12.86,0,0,3.91,43.8,0,2.09,0,20.38,2.81,0,4.72,0,0,0,0,692.81,11.98,0
