stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.35,71.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.63,86.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,37.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9,15.1,0,177.28,0,0,0,0,18.68,0,5.96,0,0,0,0,0
 14-21,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,2.33,0,2.45,0,11.47,6.44,4.38,0,0,0,0.81,0.9,8.6,0,1.98,42.19,0,0,0,0,0
 24-34,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0,7.27,11.86,3.1,0,0,0,0,0,0.76,0,0,7.27,1.63,0,0.73,0,0
 36-46,0,0,0.89,0,0,0,0,0,0,0.72,0,0,0,0,0,0,10.44,0,4.63,6,4.92,0,0,0,0.59,0,0,0,0,0,20.18,0,1.43,0,0
 48-58,0,0,3.3,0,0,0,0,3.01,0.43,0,0,0,0,0,0,0,13.05,0,1.1,18.59,0.54,0,0,0,0,0,0,0,0,0,1.41,0,2.43,0,0
 60-70,0,0,1.17,0,0.72,0,0,9.23,5.6,0,0,0,0,0,0,0,30.15,0,2.46,27.78,2.87,0,0,1.22,0,0,0,0,0,0,6.38,0,7.54,0,0
 72-82,0,0,9.2,0,2.39,0,0.8,2.44,4.66,0,0,0,0,0.65,0,0,34.81,0,3.89,41.1,2.91,0,0,1.4,0,0,0,0,0,0,0,0,6.23,0,7.26
 84-94,0,0,10.87,0,2.73,2.24,3.29,5.25,3.72,0,0,0,0,0,0,1.19,47.77,0,1.52,25.52,0.74,0.88,0,4.36,0,0,0,0,0,0,0,0,12.31,0.68,0
 96-106,0,0,7.93,0,4.5,0,2.52,0,9.42,0,0.96,4.27,0,0,0,0,36.65,0,0,19.8,2.02,0,0,0,0,0,0,0,0,0,3.33,4.16,17.14,0,1.29
108-118,0,0,13.97,0,1.87,0,7.47,0,12.26,0,0,0.89,1.53,0,0,1.13,37.6,1.08,2.19,34.71,1.83,0.98,0,0,0,0,0,0,0,0,11.56,0,20.67,2.23,0
120,0,0,44.35,6.81,10.98,0,1.88,0,20.66,0,0,0,0,0,0,0,68.93,0,2.94,83.26,11.11,0,0,0,2.66,0,0,0,0,0,3.82,0,7.46,12.33,0
