stage,axial,blastomeres,erythrocytes,eye,gut,iridophores,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,spinal_cord,taste
  3-4,15.87,16.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,26,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.54,0,0,0,0,0,0,0,4.22,0,3.99,0,0
 10-12,0,0,0,0,0,0,0,0,8.31,0,6.52,0,0
 36-46,0,0,0,0,0,0,0,0,2.96,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.09,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.16,10.43,0,0,0
 72-82,0,0,0,0.61,0,0,0,0,3.21,53.42,0,1.72,0
 84-94,0,0,0,0,0.97,0,0,0,2.23,290.87,0,0,0
 96-106,0,0,1.96,0,0.64,0,1.36,0,5.48,341.21,0,0,0
108-118,0,0,0,0,0,0,1.35,0.94,9.12,313.05,0,0,15.33
120,0,0,0,0,0,17.67,0,0,0,409.86,0,0,0
