stage,axial,blastomeres,erythrocytes,eye,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,slow_muscle
  3-4,0,11.45,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,10.32,0,6.4,0,0,17.78,0,0
  7-9,5.71,11.48,0,0,5.88,0,0,8.04,0,11.94,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.26,0,0
 14-21,0,0,1.34,0,0,0,0,1.03,0,0,2.64,0
 60-70,0,0,0,1.34,0,0,2.01,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.09,0,0,0.53
120,0,0,0,0,0,14.73,0,0,0,0,0,0
