stage,endocrine_pancreas,eye,fin_epithelia,glial,heart,mesenchyme,muscle,neural,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.05,0,0,0
 24-34,0,0,0,0,0,0,0,26.98,0,0,0,7.27,0,0,0
 36-46,0,2.87,0,0,0,2.82,0,45.22,0,0,0,8.72,0,0,0
 48-58,0.46,0.5,0,1.09,0,0,0,29.23,0,0.64,0,3.42,0,0,0
 60-70,0,27.6,0,0,0,9.47,0,57.84,0,0,1.33,12.62,0,0,0
 72-82,0,8.68,0,1.85,0,9.83,1.31,39.22,0,0,0,0,0,0,1.39
 84-94,0,7.16,0,0,0,8.61,0,15.25,0,0,0,3.37,1.22,1.93,0.68
 96-106,0,5.03,0.62,0,0,10,0,15.53,0,0,0,1.51,0,0.56,0
108-118,0,16.82,0,0.58,1.28,10.59,0,14.44,1.8,0,0,0,0,0,6.2
120,0,10.95,0,8.9,0,0,0,28.39,0,0,0,0,0,0,0
