stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,34.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,7.55,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.32,12.95,0,46.38,0,0,0,75.18,0,0,0,0
 14-21,0,0,2.32,1,0,0,0,0,1.27,0,18.34,0,0,0,0,3.88,33.92,15.23,0,0,0,4.25,2.09,862.41,1059.07,8.46,0,0,0
 24-34,0,0,1.31,1.6,5.46,78.28,1.61,0,1.71,0,16.1,0.69,0,1.4,0,8.44,81.55,94.95,0,0.71,0,3.13,0,181.02,299.32,23.6,0,0.67,0
 36-46,0,0,0,0.76,2,105.54,0,0,0,0,14.57,0,0,0,0,4.46,48.27,46.86,0,0,0,2.58,0,84.67,16.65,5.77,0,0,0
 48-58,0,0,0,0,8.24,57.52,0.55,0,4.69,0,9.12,0,0,0,0,2.99,16.93,33.58,0,0,0,1.3,0,29.85,0,13.5,0.37,0,0
 60-70,0,0,0,0,9.54,69.56,0,0,0,0,11.32,0,0,9.64,10,1.27,27.56,7.99,10.7,0,0,0,0,10.08,0,3.83,0,0,0
 72-82,0,0,0,0,8.07,22.25,0,0.71,5.76,0,2.11,0,0.72,0,0,3.42,16.14,23.15,0,0,1.13,4.03,0,23.05,0,2.48,0,1.79,0
 84-94,0,1.19,0.8,0,15.69,42.69,0,0,0,0,0.95,0,0,0,5.22,14.94,18.04,16.28,0,0.87,0,1.04,0,10,0,2.78,0,0.6,2.23
 96-106,0,0,1.66,12.19,36.62,39.47,0.89,0,0,0.96,3.78,0,0,0,0,12.09,19.22,22.58,0,0,1.2,1.49,0,22.16,0,3.91,0,4.52,0.59
108-118,0,0,0,0,14.76,38.03,0,0,1.9,0,6.91,0,0,0.43,0,9.62,9.13,16.2,0,0,0,2.32,0,13.09,0,3.52,0,0,0.72
120,0,0,1.45,0,23.42,39.22,0,0,14.43,0,1.85,0,0,0,0,27.56,29.69,44.93,0,0,0,0,4.48,5.94,0,0,10.65,0,0
