stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,30.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.45,0,0,0,5.85,0,0,0,0,0,0,0,25.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,2.66,2.53,0,0,0,0
 24-34,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0.7,0,14.57,0,0,0,1.68,0,0,3.86,0,0,0,0
 36-46,0,0,0,1.64,0,1.12,0,0,0,0,0,3.17,5.29,0,0,19.86,0,0,0,1.28,0.7,0,4.05,0,0,0,0
 48-58,0,0,0,7.1,0.44,0.86,0,0,0,0,0,0,2.85,0,0.56,25.64,0,1.09,0,1.74,0,0,1.68,0,0,1.81,2.27
 60-70,0,0,0,1.44,0.62,2.08,0,0,0,0,0,0,3.49,0,0,25.83,0,0,0,0,0,0,1.99,0,0,0,0
 72-82,0,0,0,0.65,0,2.21,0,0,0,0,0.89,0,0.78,0,0,10.51,0,0,0,0.7,0,0,0,0,1.19,1.1,0
 84-94,0,1.26,0,6.65,0,4.75,0,0,0,0,0,0,7.86,0,0.96,4.42,0,0,0,0,0,0,0,1.21,0,0,0
 96-106,0,0,0.62,1.12,0,0.87,0,0,0,0.67,0,0,2.55,0,0,5.5,0,0.57,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.86,0,1.68,1.41,0,1.51,0,0,0,9.29,0,0,6.75,0.81,0.93,3.53,0,0,0,0,0,0,0,0
120,0,1.37,1.08,0,0,1.39,0,0,0,0,0,0,3.91,0,2.55,0,0,0,0,7.65,0,0,0,0,0,1.55,0
