stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,0,0,16.84,2.36,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,7.5,0,0.88,1.62,0,0,0,2.34,0,0,0,20.76,0.89,0,0,0
 48-58,0,0,0,8.52,0,0,0,0,6.88,3.33,0,0,11.23,0,0,0,2.16,0,0,0,8.87,1.25,0,0,0
 60-70,0,0,0,5.02,0,0,0,0,12.61,10.99,0,0,14.17,0,0,0,6.47,0,0,0,18.52,1.22,0,0,0
 72-82,7.14,4.89,5.7,23.87,0,0.78,0,1.22,55.31,7.83,0,0,63.25,3.2,0,0,37.13,0,0,0,27.29,5.66,0.56,1.24,0
 84-94,2.2,0,2.47,38.6,0,0,0,0,87.05,3.42,0,0,169.32,0,0,0,21.23,0,0,13.22,39.26,28.91,1.87,0,5.84
 96-106,0.99,2.54,9.09,67.87,0.94,0,9.53,8.39,91.83,4.26,0.93,1.38,216.81,12.08,1.23,0.79,45.21,0.71,0.85,9.71,24.19,2.16,0,0,0
108-118,3.68,3.11,1.98,60.48,0,0,0,1.03,124.22,6.37,0,0.43,365.73,19.67,0,4.38,54.94,0,0.91,3.64,33.21,3.47,0.54,0,0
120,0,8.56,0,27.01,0,0,0,11.19,97.69,9.69,0,0,149.63,5.17,0,0,36.8,12.72,0,0,7.6,3.5,0,0,0
