stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.01,0,0,16.74,0,0,0,0,0,0,0
 10-12,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,0,0,604.93,0,0,43.04,0,0,0,0,0,0,0
 14-21,0,2.74,0,2.37,0,0,0,35.3,0,0,0,0,0,1.73,0,0,746.22,2.02,0,0.95,0,1.55,488.99,0,0.87,0,0
 24-34,0,0.66,0.87,4.53,0,0,0,60.36,0.8,2.22,0,0,0,1.42,0,0.95,2491.38,1.22,0,0,0,0,944.32,0,3.26,0,0
 36-46,0,0.8,0,32.48,0,0,0.57,173.19,0,0,0,0,10.02,8.21,0,0,3724.17,4.98,0,0,0,0,1579.55,0,0,0,0
 48-58,0,0,0,146.59,1.02,0.42,0,152.61,0,0.45,0,0,0,1.17,3.65,0,1238.56,0,0,13.27,0,0,759.06,0,3.02,0,4.54
 60-70,0,0,0,191.69,0,1.49,0,64.91,0,0,0,0.87,1.78,3.43,0,0.68,540.37,0,0,0,1.5,0,232.03,0,0,0,0
 72-82,0.68,8.76,0,265.54,0,0,0,38.34,0,0,0,0,3.06,3.54,0,1.42,403.87,1.19,1.06,0,0,0,77.05,0,0.66,0,0
 84-94,0,2.17,2.59,179.4,0,0,0,35.7,0,0,0,0,0,8.78,0,2.42,325.45,0,0,0,0.85,0,88.27,0,2.51,0.77,2.11
 96-106,0,9.09,0,144.93,0,0,1.21,33.04,0,0,0,0.6,9.82,12.47,0,1.08,248.73,1.87,0,0,0,0,27.16,0,0.66,0,0
108-118,0,2.14,0,197.07,0,3.21,0,34.54,0,0,0.51,0,1.65,17.27,0,2.87,387.23,0,0.91,0,1.28,0,7.18,0.52,0.99,1.88,5.35
120,0,0,0,96.48,0,1.23,0,10.4,0,0,0,0,0,8.66,0,0,247.36,0,0,0,0,0,8.67,0,0,0,0
