stage,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,neural,somites,spinal_cord
 14-21,0.82,0,0,0,0,0,0,0.85,0,0,0
 24-34,0,0,0,0,0,0,0,0.61,12.95,0.6,0.71
 36-46,0,0,0.61,0,0,0,0,0.82,3.97,0,0
 48-58,0,0,0,0.56,0,0,0,0,0.66,0,0.66
 60-70,0,1.4,0,0.65,0,0,0,0,3.37,0,0
 72-82,0,3.69,0,0.92,0,0,0,0,0,0,0
 96-106,0,0,0,1.12,0,1,0,0,0,0,0
108-118,0,0,0,3.59,0.65,0,0.76,0,1.46,0,0
120,0,0,0,0,0,0,0,0,9.52,0,0
