stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0
  7-9,0,28.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.52,0,0,0,5.12,0,0,0,0,3.81,0,0,0,0,0,0,0
 14-21,0,4.25,29.42,1.23,0,2.54,0,0,0,1.34,0,91.07,0,0,0,0,0,0,79.78,0,27.86,19.19,0,0,1.1,2.02,0,7.95,0,13.36,0,966.88,91.4,4.34,0,0,0,0
 24-34,0,0.59,47.37,0,0,3.87,0,0,0,0.7,1.01,75.95,0,0,0,0,1.76,1.47,17,0,25.61,55.21,0.67,0,0,0,1.61,2.3,0,0,12.87,508.72,2.46,10.05,0,0,0,0
 36-46,0,0,27.95,0,0,4.62,0.68,2.68,0,1.24,0,90.2,0,0,0,0,0,3.12,2.06,0,38.31,80.31,0,0.62,0,0,0,2.13,0,0,2.73,538.11,0,15.32,0,3.45,0,0
 48-58,0,0,16.24,0,0,16.49,10.6,5.8,0.76,4.45,0,29.68,0,0,0,0,0,17.13,7.2,0.84,23.6,42.12,0,1,0,19.09,0,1.28,0,0,0,368.81,0,5.11,0,0.63,0,0
 60-70,0,0,4.66,0,0,33.58,186.55,3.27,0,1.2,0.65,20.04,0,0,3.7,0,0,30.88,4.75,0,12.14,131.62,0,0,0,0.81,0,2.42,0,1.38,0,271.59,0,19.93,4.4,0,0,0
 72-82,0,0,4.24,0,0,30.88,160.6,0,0,1.44,0,8.12,0.63,0,0.9,0.65,0,11.83,27.34,0.81,17.39,118.12,0,3.33,0.91,6.76,0,3.56,0,0,0,124.5,0,16.93,0,0,0,19.12
 84-94,0,1,13.32,9.11,0,32.47,569.52,1.09,0,3.37,1.17,3.99,3.97,0,0.76,5.41,6.29,32.04,16.64,0,14.15,69.91,0,0,0,0,0,4.89,0,0,0,205.17,0,8.5,0,2.56,0,0.73
 96-106,0,0,11.21,3.37,4.27,44.08,547.43,4.12,0.8,9.92,0,6.6,1.68,1.54,0.71,1.08,7.91,17.18,30.66,0,32.38,80.12,0,2.93,0.77,4.82,0,4.76,0,0,0,202.06,0,0,0,0,0,0
108-118,0.61,0,3.54,3.67,0,56.86,416.5,3.06,8.19,9.16,0.7,16.87,0,0,1.16,0,0,32.72,14.98,0,10.16,63.64,0.81,1.48,0,0,0,5.35,0.79,0,0,138.59,0,0,2.28,3.15,1.19,3.36
120,0,0,2.95,38.25,0,6.65,463.99,0,0,11.3,0,14.11,0,0,0,8.82,5.59,5.57,25.06,4.22,6.61,54.7,0,0,7.32,0,0,1.32,0,2.24,0,91,0,0,0,0,0,0
