stage,blastomeres,epidermis,mesenchyme,neural,periderm
  3-4,98.93,0,0,0,26.54
  5-6,47.65,0,0,0,0
  7-9,0,0,0,17.54,0
 10-12,0,0,0,9.26,0
 36-46,0,1.07,0,0.68,0
 60-70,0,0,2.41,1.15,0
 84-94,0,0,1.4,0,0
