stage,blastomeres,epidermis,eye,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord,xanthophores
  3-4,21.74,0,0,0,0,0,0,0,0,0,20.87,0,0,0
  5-6,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,16.28,0,0,0,0,0
 10-12,0,0,15.26,0,0,0,0,0,4.61,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,11.1,0,0,0,1.38,0
 24-34,0,0,0,0,0,0,2.12,0.66,5.48,1.48,0,1.76,1.08,0
 36-46,0,0.91,0,0,0,1.77,2.29,2.46,4.16,0,0,0,4.75,0
 48-58,0,0,0,0,0,0,2.71,0,2.69,0,0,0,0.6,2.23
 60-70,0,0,0,0,0,0,6.12,0,0,0,0.75,0,0,0
 72-82,0,0,1.12,0,0,0,1.2,0,7.11,0,0.94,0,0,0
 84-94,0,0,0,0,0,0,1.78,0,0,0,0.66,0,0,0
 96-106,0,0,0,0,6.18,0,3.11,1.65,0,0,0,0,0,0
108-118,0,0,0,0,0,0,4.01,0.44,6.77,0,0,0,0,0
120,0,1.09,0,0,0,0,4.47,0,7.21,0,0,0,0,0
