stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,31.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,15.01,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,4.83,0,0,0,0,0,0,0
 14-21,0,6.48,2.56,0,0,1.08,0,0,0,3,0,2.42,25.29,0,0,0,2.13,2.26,0,4.94,5.27,0
 24-34,0,0,2.76,0,0.64,0,0,0,0,1.65,1.21,0.69,24.71,0,0,0.72,0,0,0,0.61,7.67,0.62
 36-46,0,0,2.58,0,0,0,0,0,4.05,3.99,0.85,0,27.46,0,0,0,0,0,0,0,4.51,1.02
 48-58,0,0.55,9.62,0,0.53,0,8.56,0,0,3.54,0,0.51,10.47,0,0,0,0,0,0,0,1.02,0
 60-70,0,0,3.78,0,1.72,0,0,0,0,3.26,0,0,6.09,0,0,0.71,0,0,1.58,0,2.88,0
 72-82,0,0.53,1.8,0.62,1.35,0,0,0,1.73,4.03,0,0,11.27,0,0,0,0,0,0,0,0,0.5
 84-94,0,0,2.26,0,0,0,0,0,0,0.78,0,0.67,1.42,0,0,0.92,0,0,0,0,2.85,0
 96-106,0,0.57,4.83,0,0.67,0,0,0,0,2.65,0,0.61,5.11,0,0,4.04,0,0,0,0,0,0
108-118,0,2.56,1.34,0,2.14,0.45,0.71,1.4,0,0,0,0.66,1.46,1.31,0,3.27,0,0,0,0,0.7,0
120,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,4.91,0,0,0,0,0,0
