stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,20.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0,0,6.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.71,0,0,0,22.38,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.28,0,3.13,0,0,0,0,0,0,0,0,87.38,0,0,0,0,0.86,0,9.59,0,0,0,0,0.85,0,1.32,0,0,1.42,0,0,0,0
 24-34,0,10.2,0,4.43,0,0,0.82,0,0,0,0,0,181.85,0,11.11,0,0,9.29,0,129.88,0,0.67,0.67,0,7.07,0,0,0,0.63,3.13,0,0,0,0
 36-46,0,6.07,0,2.06,0,0,0.76,4.59,2.05,0,1.93,0,107.46,0,6.29,0,1.47,5.96,3.44,455.15,0.68,1.42,0,0,3.27,0,0,0,0,2.1,0,0,0,0
 48-58,0,3.11,0,2.59,0,0,3.62,0.89,1.71,0,11.38,0,31.84,0,2.28,0,3.08,10.49,0,221.19,0,0,0.42,0,4.17,0,0,0,0,1.71,0,0,0,0
 60-70,0,19.16,0,3.36,0,0,2.83,0,3.5,8.48,6.28,1.7,33.44,0,3.45,11,1.27,13.77,0,150.75,0,0,0,0,9.69,0,0,0,0,2,2.38,0,0,2.21
 72-82,0,70.21,0,9.59,0,0,2.86,0,13.55,76.76,2.16,0,46.35,0,10.12,0,5.47,36.65,0,207.43,0,1.18,0,0,1.54,0,0,0,0,0,18.79,0,0,0
 84-94,0,79.61,1.01,7.54,0.58,0,11.37,1.15,0,81.49,4.59,0,49.95,0,11.57,0,0,35.32,0,176.4,0,2.04,1.92,0,6.97,0,2.81,0,0,4.7,71.57,0.75,0,0
 96-106,0,77.4,0,56.26,0,0,2.17,0.93,4.9,128.17,1.06,5.38,92.31,0,15.34,3.07,3.92,47.7,0,171.07,0,2.34,5.65,0,16.86,1.35,0,0,0,0,130.13,0,0.69,1.61
108-118,0,66.17,0.42,65.43,0,0.79,2.7,0.58,7,101.08,0,1.85,88.54,0.42,6.42,0.46,0.44,52.92,1.46,111.82,0,1.01,3.32,0,13.74,0,0,0.43,0,0,157.6,0,0,0
120,0,53.68,0,27.27,0,0,0,0,22.47,101.02,0,11.5,64.25,0,3.55,12.13,10.27,51.48,0,89.39,0,3,0,0,11.06,0,0,0,0,0,59.21,0,0,0
