stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11,3.59,0,20.3,0,0,0,0,0,0
 10-12,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.33,0,0,10.27,0,0,4.36,0,0,0
 14-21,0,0,0,0.9,0,1.14,0,0,0.97,0,0,0,0.82,0,0,0,1.78,0,1.22,4.14,0,0,0,0,1.58,0,2.61,0,1.07
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,9.7,0,0,0,1.42,0,0.79,3.92,0,0.76
 36-46,0,0,0,3.39,0,1.73,0,0.75,3.28,0,0,0,0,0,0.72,0,3.26,0,0.6,17.41,0,0,0,0,0,0,4.94,0,0
 48-58,0,0,0,0,0,11.69,0.49,0,3.11,0,0,0,0,0,0,0,4.22,0,0.38,19.04,0.51,0,0,0,0,0,5.27,0,0
 60-70,0,0.57,0,1.13,0,13.75,0,0,2.62,0,0,0,0,2.09,0,0,7.07,0,0,24.79,0,0,0,0.64,0,0,0.79,0,0
 72-82,0,0,0,0,0,22.88,0,0.78,1.24,0,0,0,0,0,0,0,8.76,0.68,3.4,22.45,0,0,0,1.01,0,0,8.83,0,0
 84-94,0,0,0,3.92,0,3.41,0,0,1.28,0,0,0,0,0,0,1.7,1.18,0,0,5.47,0,0,0,0.79,0,0,0,0,0
 96-106,0,0,0,0.6,0,8.95,0,0.84,0,0,0,0,0.73,0,0,0,2.07,0,1.38,13.28,0,0,0,1.08,0,0,4.46,0,0
108-118,0,0,0,0,1.39,6.16,0,2.05,0,0,0,1.02,0,0,0,0,1.98,0,0,8.52,0,0.44,0,0,0,0,3.65,4.23,1.09
120,0,0,0,0,0,0,0,0,0,6.37,0,0,5.09,0,0,0,0,0,0,19.63,0,0,0,2.12,0,0,0,0,0
