stage,epidermis,eye,glial,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  7-9,0,10.11,0,0,0,3.87,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,34.77,0,0,0,7.16,0,0,0
 14-21,1.05,0,0,0,0,0.92,0.94,0,0,0,0.87,0,0
 24-34,0,0,0,0,0,3.96,0,0.63,0.67,0,3.07,1.34,0
 36-46,0,0,0.96,0,0,30.68,0,0,0,0,0,0,0
 48-58,0,1.57,12.69,0,1.04,20.85,0,0,0,0,0,1.41,0
 60-70,0,11.24,11.47,0,0,13.65,0,0,0,0,0,4.32,0
 72-82,0.71,9.49,0.56,0,2.17,15.9,0,0,0,0,0,11.97,0
 84-94,0,1.72,0,0.83,0.85,0,0,0,0,0,0,11.72,0
 96-106,0,0.6,0.96,0,0,0,0,0,0,0,0,2.02,0
108-118,0,0.55,0,0,1.1,3.73,0,0,0,0,0.58,0,0
120,1.57,34.39,0,0,14.12,39.71,0,0,0,0,0,5.98,6.74
