stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.5,94.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.04,0,0,63.98,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0,0,0,187.13,3.22,0,0,72.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.4,0,6.59,4.03,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,265.85,93.97,0,0,111.59,0,0,9.03,4.75,20.58,0,0,0,0,0,0,0
 14-21,0,0,0,8.76,35.95,2.27,13.11,0,0.82,0,4.2,4.66,0,0,0,0,0,0,0,3.43,20.54,0,0,20.2,82.14,188.83,0,0,2.4,0,12.88,0,15.44,17.45,4.33,18.83,56.54,0,1.6,0,0
 24-34,4.02,0,3.99,2.54,17.91,2.71,8.16,0,0,0.61,7.97,0,0,2.73,0,0.74,0,0,3.4,0,60.73,0,0,36.07,177.7,198.65,0,0.63,0,0,5.65,0,0,1.64,0.99,0,69.29,0,1.79,0,0
 36-46,0,0,0.77,0,46.81,0,18.81,1.31,3.34,0,3.65,0,0,8.66,0,0,0,0,0,0,73.31,0,1.07,26.24,155.43,144.19,0,0,0,0,1.5,0,0,8.14,1.69,0,64.59,0,2.42,0,0
 48-58,0.77,0,4.41,0,35.48,0,19.49,1.1,4.01,1.04,3.83,0,14.86,3.76,0,0,0.38,0.4,0,0.56,119.07,0.84,0.44,6.03,147.99,162.84,0,0.38,0,2.09,14.96,0,0,0,1.07,0,31.84,0,1.86,0,0.6
 60-70,0,0,5.65,0,51.89,0,101.97,0,0,2.87,4.04,2.05,0.93,0,0,0,0.71,2.14,1.41,0,171.34,4.84,2.08,14.73,259.26,161.96,2.62,1.8,0,0,0,0,0,0,0,0,30.25,0.63,0,2.04,1.15
 72-82,0,0,1.53,0,42.57,0,287.29,2.53,2.4,5.17,6.75,1.35,0,0,0,0.7,0,2.66,0,0,156.14,2.08,5.76,5.61,156.3,39.31,0,3.58,0,0,1.02,0,0,0,0,0,42.17,0,0,4.46,0
 84-94,0,0,2.45,0,80.49,1.07,377.75,0,10.86,0,3.61,2.31,0,1,0,2.23,0.62,6.91,0.83,0,106,0.57,3.85,7.35,136.25,97.51,0.66,1.22,0,0,0,0,0,0.56,0,0,12.6,1.05,0.8,11.05,1.57
 96-106,0,0,4.23,0,59.05,0,381.28,0.86,4.22,3.93,23.33,2.76,0,0,1.28,0,0,8.35,7.08,0,107.01,2.72,2.38,4.12,116.01,53.16,0.74,3.72,0,2.9,6.39,0,0,0,0,0,14.77,4.91,1.49,15.32,8.85
108-118,0,0,7.15,0,156.59,0,355.08,2,5.02,0,18.73,1.79,0,0,1.07,1.24,0,6.02,0,0,123.87,3.88,3.37,4.71,176.48,77.18,1.86,1.64,0,0.96,0.99,0,0,1.06,0,0,1.32,4.57,0,18.91,10.31
120,1.12,0,1.39,0,237.19,0,377.27,0,29.84,0,15.8,3.89,0,0,9.43,3.52,0,20.2,0,0,173.38,11.74,13.22,2.72,292.58,217.08,0,0,0,18.25,8.88,0,0,1.83,0,0,4.03,4.31,5.03,15.76,0
