stage,blastomeres,epidermis,erythrocytes,neural,otic,periderm
  3-4,33.63,0,0,0,0,0
  5-6,8.09,0,0,0,0,0
 14-21,0,0,1.06,0,1.02,0
 24-34,0,0.63,0,0,0,0
 84-94,0,0,0,1.73,0,0.73
