stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.41,864.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,0,0,0,0,0,0,0,0,0,0
  5-6,46.02,921.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,31.22,0,0,0,0,0,0,0,0,0,0
  7-9,7.23,9.59,0,0,0,40.63,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,152.39,8.32,0,0,14.53,0,0,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,17.24,0,0,0,0,0,14.09,0,0,0,0,0,0,0,0,0,0,121.88,12.18,0,0,74.2,0,3.07,0,0,7.06,0,0,0,0,0,0,0
 14-21,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,11.73,0.8,1.37,0,0,0,0,0,2.6,0,0,5.6,3.02,0,0,0,0
 24-34,0,0,2.16,0,0,12.18,0,0,0,0,0,0,0,0,2.48,0,0,0,1.75,4.03,0,3,63.61,0.69,0,0.88,0,0,7.63,0,0,0.66,3.68,1.86,24.34,0,1.25,0,0
 36-46,0,0,3.57,0,0,48.21,2.07,0,0,1.88,0,0,0,0,4.83,0.74,0,0,0,6.25,0,1.97,93.73,0,0,1.46,0,0,8.27,0.81,0,0,0.57,0,34.48,0,0.58,0,7.41
 48-58,0,0,1.55,0,0,51,0.71,0,0.45,3.16,1.35,0,0,3.86,0,0,0.42,2.75,3.07,14.33,4.09,4.94,122,0,0,0.62,0,0,1.19,0,0,0.47,3.35,0,29.56,0,5.77,0,1.38
 60-70,0,0,2.87,0,0,116.29,2.84,0,2.3,24.66,0,0,0.71,0.65,0.93,0.66,0.63,11.36,3.52,21.44,0.69,1.08,205.84,2.14,0,10.87,0,0,4.04,0,0,2.82,4.88,0,29.49,0,0,0.64,18.18
 72-82,0,0,4.1,0,0,73.54,0.76,0.51,0,16.49,0.51,0,0,1.11,0,0,1.63,0.8,0,15.35,2.99,2.03,179.98,0,0,15.59,0,0,2.37,0,0,0.55,1.87,0,21.76,0.57,0.73,0,6.16
 84-94,0,0,15.91,3.69,0,46.55,0,3.29,2.96,21.87,2.03,0,0,8.01,3.61,0,1.23,6.52,0,12.37,0.86,2.95,97.02,0,0,2.4,0,0,6.87,0,0,2.51,1.24,0,20.29,0,2.34,3.27,4.41
 96-106,0,0,10.67,0,0,24.72,0,0,7.81,12.04,2.25,0,0.76,2.38,3.06,0,0,11.71,0,8.34,0.58,1.37,52.8,0,0,0,0,0,5.89,0,0,1.45,0.58,0,2.75,0,1.39,0,0
108-118,0,0,10.74,0,1.51,27.61,1.66,0,0.53,14.47,0.47,0,0,1.84,1.94,0.75,0,3.42,0,14.67,0,2.73,122.01,1.23,0.42,3.06,0,1.96,9.16,0,0,2.29,5.38,0,2.94,0.5,0,0,0
120,0,0,26.93,0,0,111.06,0,0,0,29.59,0,0,0,0,5.41,8.53,0,11.83,3.24,44.09,9,7.4,295.86,1.25,10.74,0,0,0,0,0,0,0,2.43,0,10.2,0,7.38,10.94,0
