stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,47.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,46.79,3.69,0,0,24.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.43,0,0,0,0,14.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.27,0,0,0,17.06,0,9.77,0,13.48,0,0,0,0,0,0,0,0
 14-21,0,0,1.18,2.71,0,1.58,0,0,0,0,0.85,0,0,0,0,0,0,0,1.78,0,0,0,42.97,0.95,0,0,0,0,0,1.4,0,0,1.8,12.11,0,0,0.98,0,0
 24-34,0,0,0,1.61,0,7.64,0,0.68,0,2.98,0,0,0,0.88,0,0,1.53,0,0.85,0,0,2.23,246.56,3.2,0,0.68,0,0,0,0,4.19,0,0,49.19,0,0,4.75,0,0.96
 36-46,0,0,0,1.59,0,5.68,0,0,0.65,3.16,0,0,0,0,0,0,0,0.58,4.04,0,0,0,598.93,1.44,0.66,0,0,2.5,0,0,1.98,0,2.35,118.71,0,0,5.63,0,2.12
 48-58,0,0,0,4.64,2.12,44.04,0,0,0,15.42,0,0,1.25,0,0.39,0,0,5.51,18.69,1.67,0,1.39,891.21,0,1.07,0,0,1.77,0,0,9.53,0,0,206.24,0,0.37,0,0,0
 60-70,0,0,0,7.43,0,106.05,0.65,0,0,41.07,0,0,0,0,0,0,0,5.09,16.41,3.12,0,0,1235.45,0,0,2.72,0,4.79,0,0,0,0,0,259.92,0,0,0,0,0
 72-82,0,0.87,0,3.23,1.2,113.28,0,0,0,49.74,0,0,0,0,0,0.69,0,0.85,29.2,0,1.56,0.71,1289.14,0,0.79,1.19,0,0.6,0,0,10.49,0,0,196.49,0,0.57,0,0.96,0
 84-94,0,0,0,7.78,10.21,118.07,0,2.15,0,43.11,0,0,0,0,0,4.32,5.87,10.72,14.45,3.28,0,2.63,1052.41,0.94,0,2.24,0,2.15,0,0,9.21,0,0,111.52,0,0.68,0,0,0
 96-106,0,0,0,4.98,3.39,129.13,0,0,4.06,42.19,0,0,0,0.69,1.18,0,14.94,0.78,15.97,0,0,0,769.77,0,1.99,1.06,0,2.26,0,0,9.78,0,0,42.14,2.03,0,2.02,0,0
108-118,0,0,0,1.73,0.46,94.66,0,1.17,1.23,73.37,0,0,0,0,0,1.94,0,3.23,8.46,0,0,1.19,971.56,0,0,6.54,0,2.05,0,0,7.31,0.68,0,38.46,0,2.14,1.07,0,2.22
120,0,0,0,25.28,10.44,197.86,0,0,0,40.82,0,0,0,3.62,0,0,3.84,0,17.85,1.49,0,0,1892.85,0,0,6.24,0,3.22,0,0,7.8,0,0,92.05,0,0,0,0,0
