stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,taste
  7-9,0,0,0,0,3.7,0,0,0,0,0,0,0,0,10.96,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0
 14-21,0,1.22,0,0,0,0,0,0,0,0,0,0,0,1.47,1.09,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.96,0.74,0,1.72,1.44,0,0,1.57,0
 36-46,0,0,0,0,0.66,0,0,0,0,0,0.57,0,0,9.31,9.82,0,0.84,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.44,0.4,0,0.5,15.81,2.62,2.62,0,5.85,0
 60-70,0,0,0,0,1.97,0,0,0,2.31,0,6.08,0,0,1.51,5.26,24.72,0,0,0
 72-82,0,0,0,0,22.13,0,0,0.64,0,0,1.46,0,0,0,8.92,4.41,0,0,2.23
 84-94,1.44,0.6,0,2.96,25.88,0,0,0,0.71,0.56,4.56,0,0,9.16,10.34,15.3,0,0,0.81
 96-106,0,0.65,3.59,0,58.3,1.29,0,0,0,1.38,12.93,0,0,8.3,11.02,31.58,0.77,0,2.76
108-118,0.76,0.48,0,0,68.13,0,0,0,0,0,9.12,0,0,3.24,5.95,19.83,0.45,0,0.68
120,0,2.4,5.2,0,147.78,0,2.21,0,0,0,20.24,0,9.73,1.29,38.4,37.59,0,0,2.82
