stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,411.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,379.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.71,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.54,0,16.45,0,0,5.88,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,94.19,0,0,0,13.21,0,0,0,29.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,2.06,1.87,0,0,2.54,0,0,0,0,0,0,0,0,1.13,7.01,0,0,2.18,63.8,0,0.98,0,1.12,0,0,6.43,0,0,6.53,10.11,0,0,0,0,0
 24-34,0,0.97,0,1.31,0.79,6.56,0.68,0,2.83,0,0,0,0,0,0,0,0,0,19.93,4.95,0,5.07,168.6,0,0.96,0,0,0,3.44,2.71,0,1.16,2.47,37.55,0,0,4.47,0,0
 36-46,0,0,0,17.97,0,23.96,0,0,8.61,0,0,0,0,0,4.15,0,0,0,15.09,0,0.96,3.03,207.01,1.87,2.04,0.82,0,0,5.7,0,0,0,0,20.06,0,0,10.47,0,0
 48-58,0,0,0,4.89,0,64.92,0,0.87,13.66,0,0,0.65,4.15,0,0,0.45,0.39,0.78,17.72,0.37,4.19,1.9,222.5,0,1.06,4.37,0,0,5.45,0,0,0,0,39.05,0,0,3.05,0,0
 60-70,0,0,0,5.84,0,72.22,3.81,0.83,7.53,0,0,0.88,0,0,0,0,0,0,18.32,0,0,1.26,221.01,2.55,0,0,0,0,15.34,0,0,1.5,0,30.89,0,0,1.97,0,0
 72-82,0,0,0,0,0,107.1,0,0.82,15.38,1.52,0,0.79,0,0,1.39,0,0,0,41.61,0.93,0,1.83,208.82,0,1.1,2.24,0,1.79,5.55,0,0.66,0,0,57.13,0,0,1.79,0,8.74
 84-94,0,0,0,1.85,7.29,44.96,0.62,0,8.04,0,0,0,0.65,0,2,0,0,0,22.77,0,0,2.37,144.87,0,1.05,1.29,0,0,4.51,0,0,0,0,22.95,3.14,0,1.76,0,0
 96-106,0,0,0,8.28,0.72,66.41,0.9,6.22,19.74,1.43,0,0,0,0.82,1.18,2.09,0,0,47.32,0,4.55,3.34,127.7,0.58,1.82,2.32,0,1.77,8.18,0,0,0,0,7.67,1.83,0.92,0,0.81,2.99
108-118,0,0.75,0,3.2,0.49,45.31,0,1.17,25.47,1.19,0,0,1.22,1.17,2.41,1.51,0,2.41,38.8,0,0.69,3.42,193.99,0.54,1.21,0,0,3.16,15.91,0,0.43,0,0,11.88,2.51,0,0.97,0,0
120,0,0,0,4.27,4.9,55.85,0,0,29.83,0,0,0,0,0,0,0,0,0,77.57,2.91,0,1.71,259.31,0,6.75,21.09,0,5.08,9.58,0,0,0,0,16.01,0,0,11.89,0,0
