stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,166.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.01,500.65,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,26.59,0,0,0,0,0,0,0,0,0
  7-9,4.36,12.21,15.25,0,0,51.17,0,0,0,0,0,15.12,0,0,0,0,0,0,0,0,0,402.88,9.08,0,0,125.15,0,0,0,0,0,0,0,0,0
 10-12,0,11.44,16.58,0,14.09,11.29,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,276.16,6.18,0,0,78.6,0,0,0,4.94,0,0,0,0,0
 14-21,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0.93,16.28,0,0,0,0,0,1.19,0.86,0,0,11.68,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,1.09,0,0,0,0,40.51,0,0,0,0,0,0,0,0,0,6.03,0,0,0
 36-46,0,0,0,0,0,2.27,0,0,0,3.06,0,0,0,0,0,0,0,0.96,0,0,0,20.37,0.62,0,0,0,0,0,0,0,5.22,2.91,0,0,0
 48-58,0,0,0,2.41,0,0.87,0,0,0,2.29,0,0.57,0,0,0,0,0,12.15,0,0.42,0,21.34,0,0,0,0,0,0,0,0,0,1.69,0.42,0,6.24
 60-70,0,0,0,0.58,0,3.62,0,0,0,7.76,0,0,0,0,0,0,0,162.83,0,1.42,0,25.33,0,0,0,0,2.69,0,0,0,0,3.53,0.57,0,0
 72-82,0,0,0,1.74,0,7.15,0,0,0.51,5.02,0,0,0,0,0,1.99,0,605.05,0,10.27,1.13,22.95,0,1.48,3.07,0,3.51,0,0,0,0,4.7,1.96,1.62,14.09
 84-94,0,0,0,2.43,0,3.42,0.98,0,0,1.98,0.6,0,2.23,0.69,0,1.44,0,684.65,0.65,6.76,0,13.33,0.57,0,0,0,0.79,0,0,0.74,0,0,1.54,4.95,1.57
 96-106,0,0,0,6.8,6.1,16.71,0,0,1.05,6.61,0,0,0,1.84,0,0.72,0,503.41,0,18.59,1.95,31.79,0,0,0,0,2.48,6.6,0,0,0,0,3.51,3.56,6.22
108-118,0,0,0,12.19,0,13.17,0,0.59,2.73,0.57,0.67,0,0,2.19,1.69,8.03,0,664.11,0,13.15,0,39.1,0,0,0,0,5.01,7.33,0,0.99,0,0,0,2.68,15.06
120,0,0,0,9.06,7.49,5.58,0,0,0,4.45,0,0,0,0,0,5.56,0,775.6,0,11.29,0,43.69,4.03,0,0,0,0,4.95,0,4.39,0,12.25,5.26,43.36,0
