stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28,753.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0
  5-6,55.58,487.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,27.67,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
  7-9,7.41,14.1,0,0,0,0,0,9.23,0,0,0,0,0,18.11,0,0,0,0,0,0,0,0,0,0,0,45.61,9.37,0,0,20.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.65,0,0,0,9.91,0,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,54.34,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.41,9.03,0,0,1.03,0,0,0,0,1.99,0,0,0,0,0,0,0,0,1.2,0,0,0.85,17.27,0,0,0,0,0,0,2.09,0,0,2.25,3.84,0,0,0,0
 24-34,0,0,0,0,2.63,0,0,5.96,0,0.93,0,0,2.7,0,0,0,0.71,0,0,0,0,4.19,0,0,2.06,41.29,0,0,0,0,0,10.06,0,4.15,0,0,6.39,0,0,0,0
 36-46,0,0,0,0,3.07,0,0,16.87,0,0,0,0.73,0,0,0,0,0,0,0,0,0,3.36,0,0,1.11,37.95,0,13.02,0.67,0,0,16.48,0,45.55,0,0,9.57,0,1.37,0,0
 48-58,0,0,0,0,0,0,0,19.99,0,0,0,6.83,0,0,0,4.52,0,0,0.69,0,4.38,5.39,0,0.47,1.02,65.41,0,1.64,1.23,0,0,8.15,0,6.98,0,0,13.16,0,0,0,0
 60-70,0,0,0,0,3.72,0,0,53.66,0.66,0.61,0.59,4.5,0,0.97,0,0.72,0,3.44,0,0,1.24,37.96,0,0,0,75.21,0,0,0,0,0,12.58,0,1.8,0.65,0,5.7,0,0.71,0,0
 72-82,0,0,1.26,0,2.36,0.62,0,39.69,0,0.7,0,26.67,2.01,0.5,1.97,1.83,1.18,0,0,0,2.83,24.92,0,0,0.83,55.73,0,4.7,1.18,0,0,3.09,0,3.45,1.84,0,1.4,1.43,0.64,2.11,8.11
 84-94,0,0,0,0,10.08,0,0,43.39,0,1.12,0,9.47,5.09,0,0,2.03,19.68,0.93,0,2.63,4.12,32.44,0.76,0,2.91,57.67,0,0,4.67,0,3.75,15.22,0,4.69,0,0,13.36,0,1.31,0,6.22
 96-106,0,0,0,0,5.94,0,0,50.61,0,0.74,4.17,25.19,2.83,0,0,1.57,3.77,0,7.27,0,0.57,22.38,0,1.74,0,80.51,0,1.85,6.18,0,5.19,18.51,0,5.73,0,0,1.22,1.88,8.06,2.68,0.75
108-118,0,0,1.82,0,34.55,0,1.58,55.16,0.95,4.87,1.02,15.18,6.07,0,0.51,3.15,7.5,4.28,0.86,3.52,2.16,34.96,0.96,0.94,0,83.49,1.34,1.31,1.36,0,3.2,15.96,0,7.25,3.03,0,0.71,1.36,0,1.87,3.38
120,1.12,0,2.52,0,58.58,1.32,2.59,60.58,1.01,1.65,0,57.08,13.88,0,0,4.21,2.56,0,1.76,1.42,1.55,14.16,1.63,10.13,0,158.61,0,9.08,0,0,0,19.26,0,11.48,2.33,0,8.24,0,1.54,2.66,1.16
