stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.65,87.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.57,73.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,0,0,17.38,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.28,5.37,0,0,18.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.21,3.17,0,0,13.02,0,0,0,9.87,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.82,7.11,3.52,2.65,0,0,0,0.85,0,0,4.32,0,0,0,0,0,4.79,0,0,10.88,59.52,0,9.62,0,2.25,0,0,2.97,0,2.11,7.24,36.68,0,0,0.85,0,0
 24-34,0,0,0,1.35,6.87,0,10.66,0,0,0.74,1.38,0,0,9.61,0,0,0.93,6.99,0,11.16,0,0,1.9,245.42,0,2.56,2.7,0,0.98,0,0,0,0.63,3.24,107.1,0,0,7.29,0,14.93
 36-46,0,0,0,0,0.73,0,13.02,0,0,0,7.63,0,8.29,0,0.89,0,0.68,0.74,0,25.61,0,0,3.35,325.01,0,0,0.61,0,0,0,0,0,0,0,91.47,0,0,15.7,0,0
 48-58,0,0,0,0,0,1.58,54.59,0,0,2.73,18.5,0,0.85,0.56,0,0,1.12,1.37,0.48,29.42,0,1.26,5.39,300.18,0,0,1.5,0,0,0,0,0,0.46,0,79.19,0,0.51,8.5,0,1.32
 60-70,0,0,2.21,0,1.42,0,155.7,0,1.87,2.66,8.11,0,0,1.45,0,0,0,0,0,49.1,1.14,0.84,5,211.54,0,2.21,1.03,0,1.55,0,0,0,0,0,33.99,0,0,5.71,0,0.97
 72-82,0,0,3.02,0,2.92,0,164.05,0,0,2.7,7.38,1.21,0,0.58,0.55,0,3.29,0.62,0,50.95,2.89,3.88,4.35,142.97,0.66,5.01,1.41,0,0,0,0,0,0,0,18.94,0.82,0.83,7.82,0,3.71
 84-94,0,0,0.84,0,0.98,0,108.11,0,1.4,3.68,12.01,1.71,0,2.27,0.57,2.63,0,0.56,0,41.37,1.82,0,1.23,84.03,0,1.84,3.84,0,0,0,0,0,0,0,15.35,0,2.45,7.13,0,0
 96-106,0,0,0,0,6.61,0.69,72.66,0,1.21,0.66,17.63,4.89,0,4.74,2.07,0.57,0,4.86,0,45.7,2.99,0,0,63.83,0,5.48,3.73,0,1.24,1.35,0,0.71,0,0,6.53,0.88,0,11.81,0,9.11
108-118,0,0,0,0,9.14,0,66.07,0,0,5.14,7.46,11.53,0,0,2.74,0.53,0.42,6.37,0.51,50.08,1.91,0,0,116.46,0.55,3.66,1.23,0,0.46,0,0,0.61,0.67,0,6.54,0.43,1,8.41,1,0
120,0,0,2.94,0,13.97,0,39.3,1.14,0,4.45,14.67,11.51,0,0,18.24,0,0,0,0,22.52,0,0,0,180.24,0,0,15.06,0,0,0,0,0,0,0,12.3,1.63,6,9.27,0,0
