stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
  5-6,6.67,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.68,0
 10-12,0,0,0,0,0,0,0,0,16.88,0,0,19.48,0
 14-21,0,1.04,1.8,0,0,0,0,0,2.1,0,0,0,3.02
 24-34,0,0,0,0,0,0,0,0.75,4.19,0,0,0,0.62
 36-46,0,0,0,2.51,0,0.62,0,0,5.17,0,0,0,4.87
 48-58,0,0,0,1.88,0.46,0.51,0,1.31,9.01,0,0,0,2.11
 60-70,0,0,0,2.13,0.77,0,0,0,12.3,0,0,0,1.72
 72-82,0,0,0,0,0,1.36,0,0,25.64,0,0,0,5.36
 84-94,0,0,0,4.68,0,2.99,0,0,8.53,0,0.63,0,0
 96-106,0,0,0,0,0,3.07,1.5,0,16.03,1.47,0,0,0
108-118,0,0,0,0,3.09,0,0,0,2.74,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.14,0,0
