stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,71.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.55,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.89,5.12,0,0,0,0,0,4.92,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,61.51,0,0,0,25.02,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,42.93,0,18.97,0,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4,16.48,0,0,12.08,0,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.18,59.76,17.06,0,3.58,0,0,0,0.93,1.14,0,0.93,1.92,2.12,0,0,0,0,12.07,1.12,0,6.28,29.13,0,1.19,139.54,0,0,14.29,0,9.59,13.02,46.74,4.45,0,0,6.62,0,0
 24-34,0,0,1.1,0.76,46.56,6.97,0,11.03,5.18,3.83,0,0,1.88,0,9.23,10.25,46.02,0,4.77,1.64,16.44,42.85,0.83,2.33,55.72,111.45,7.06,2.9,312.58,0,2.13,13.72,1.06,288.96,3.49,49.84,11.75,0,0,31.85,0,39.02
 36-46,0,0,0,0,26.32,1.99,0,67.55,13.05,3.06,0.63,0.64,1.98,6.4,7.04,18.82,116.91,11.79,1.94,0,21.34,30.85,15.41,3.46,21.63,111.3,5.68,0.73,341.46,0,7.92,43.59,0,234.93,8.41,0.61,19.65,0,0,14.74,0,141.7
 48-58,0,0,0,0,38.17,0.37,0,83.61,18.52,3.12,2.69,5.18,0,12.59,4.23,25.77,128.85,0.43,0.38,7.27,44.82,32.69,33.77,0.92,13.41,51.22,3.7,2.39,268.72,0,0.9,13.42,0,254.41,0,0,13.26,0,0,4.35,0,87.96
 60-70,0,0,0,0,93.98,11.66,0,204.94,3.48,5.15,2.04,0.72,7.13,4.16,0,29.78,285.36,11.61,4.17,14.96,4.32,47.89,34.45,1.91,9.02,75.27,10.7,2.84,237.71,0,1.96,21.83,0,100.35,0,0,0,0,0,12.25,2.76,141.3
 72-82,0,0,2.38,0,36.5,5.54,0,328.71,5.02,4.27,8.32,11.83,9.42,0,4.47,39.16,703.58,2,3.56,4.23,9.98,109.15,19.45,9.66,4.76,92.04,1.57,10.83,327.33,0,2.01,9.92,0,62.49,1.05,0,4.97,0.69,2.58,20.39,9.6,80.86
 84-94,0.62,0,0,1.01,159.43,0,2.36,403.92,5.1,11.64,0.59,8.3,25.94,3.66,4.67,67.61,918.36,0,1.87,37.69,14.03,98.24,28.5,23.91,6.8,81.46,9.43,8.86,500.89,0,0,26.11,0,72.09,0.78,0,2.83,3.97,3.82,13.97,13.8,40.83
 96-106,0,0,0,1.82,293.93,8.26,0,483.79,10.88,15.67,10.35,9.09,37.13,0,6.07,59.3,1820.86,4.81,2.78,13.68,26.99,92.58,43.95,11.24,13.16,125.92,1.31,6.81,368.28,0,0.99,37.51,0,52.45,1.59,0,1.23,1.41,0.69,11.09,3.08,82.88
108-118,0,0,0,0,337.73,23.05,4.45,472.17,1.15,20.45,3.71,8.12,24.38,0,0,54.07,1494.96,15.37,15.92,53.05,16.82,115.41,47.19,3.88,16.88,75.71,7.57,17.24,401.83,0,3.07,16.49,0,16.3,0.43,0,6.28,3.84,1.92,25.15,5.96,69.49
120,0,0,0,3.17,293.39,2.47,0,538.13,15.85,10.91,0,22.61,33.39,0,0,91.24,1050.81,8.61,5.03,52.43,17.27,87.94,29.27,1.26,10.68,61.76,3.91,4.59,324.46,0,0,17.2,0,11.72,0,0,6.92,0,0,17.49,4.11,36.63
