stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,94.58,1618.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.41,952.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.73,0,6.95,0,0,17.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.36,0,0,0,13.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.79,0,7.46,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.71,7.04,0,0,46.19,0,0,8.5,0,4.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,5.59,2.05,17.63,0,0,0,5.95,0,0,0,0,0.81,0,0,1.26,5.14,0,0,2.56,436.76,0,0,0,2,0,0,1.27,6.57,0,0,7.81,159.99,0,0,0,0,0
 24-34,0.88,0,0,0,4.09,0,32.32,0,0,0.64,10.85,0,0,0,0,0,0,0,0,13.65,0,0,3.75,565.17,0,4.96,0,0,0.99,2.43,0,0,0,1.54,1.92,217.21,0,0,0.81,0,0
 36-46,0,0,0,0,2.67,2.98,38.28,0,3.44,1.34,19.35,0,0,0,0,0,0,0,0,13.33,0,0.57,2.47,1176.85,0,7.64,0,0,0,4.65,0,0,0,0,0,320.2,0,0,8.99,0,0
 48-58,0,0,0,0,1.57,0,132.13,0,4.55,0,32.22,0,0.49,0,0,0,0.43,0,0.74,11.36,0,0.93,3.79,1448.39,5.13,2.23,0,0,0,4.21,0,0,0,0,0,385.06,0,0.91,1.51,0,11.38
 60-70,0,0,0,0,18.3,0,361.11,0.69,0.73,0,46.58,0,0,0,0.64,0,0,0,0,10.03,0,0,5.81,1861.52,0,0,0,0,0,0.82,0,0,0,0,0,438.62,1.44,0,0,0,0
 72-82,0,0,0,0.75,8.31,12.38,444.63,0,0,0,49.15,0,0,1.08,0,0,5.13,0,0,25.74,0,0.67,0,1535.56,0,6.76,0,0,0,0.57,0,0,0,0,0,281.94,0,0,2.8,0,6.89
 84-94,0,0,1.15,0,5.45,15.26,345.91,0,0,0.77,35.36,0,0,0,0,0.76,5.42,0,0,16.56,1.23,1.61,0.75,1225.9,0,0,2.21,0,0,23.72,0,0,0,0,0,214.22,0,0,0,0.62,3.06
 96-106,0,0,0,0,4.23,9.96,205.69,0,2.64,0.74,37.83,0.74,0,2.51,1.88,5.15,0,9.82,0,33.43,0,0,4.21,794.91,0,2.69,1,0,0,5.09,0,0,0,0,0,99.62,0,1.82,2.65,0,0
108-118,0,0,0,0,6.65,6.57,206.55,4.79,1.3,2.19,33.76,0,0,0,0,0.99,0.8,0,0,38.5,0,0,3.28,1234.89,0,1.47,3.93,0,0,12.85,0,0,0,0,0,54.42,0,0,12.98,0,1.95
120,0,0,8.73,0,5.26,10.46,161.46,1.09,0,3.09,76.14,2.39,0,2.09,0,0,0,0,0,27.55,1.31,0,0,1337.06,2.28,0,8.09,0,0,9.23,0,0,0,0,0,164.02,0,3.14,0,0,0
