stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,56.65,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.1,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.13,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,28,0,4.42,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.27,0,0,0,386.89,0,0,10.3,6.85,0,37.68,3.28,0,0,0,0,0
 14-21,0,0,0,1101.57,35.23,0,16.8,0,22.29,0,326.57,24.43,0,0,2.14,0,0,0,0,5.29,247.69,7.17,0,1501.43,311.97,29.79,0,0,122.92,0,9.61,788.14,3.62,441.52,4024.13,1626.27,0,0,1.01,0,0
 24-34,0,0,1.35,1244.08,10.95,0,37.27,2.86,227.54,72.3,348.81,4.63,2.93,3.78,0,1.51,0,1.07,0,13.4,2895.27,14.64,6.4,4063.92,495.03,7.33,6.73,0,0,12.76,16.93,8.08,0.85,92.64,651.45,816.91,0,0,11.1,0,4.83
 36-46,0,0,0,827.19,1.25,0,32.23,0,145.1,360.61,191.37,0.57,0,42.96,0,10.61,3.27,0,0,0,5576.31,12.55,47.26,3815.97,363.87,4.24,3.55,0,0,0,20.91,4.69,0,38.71,2.31,438.77,0,5.51,8.86,0,0
 48-58,0,0,0,812.7,1.12,0,124.73,2.13,146.29,455.62,151.75,0,0,64.69,1.08,0.81,0,0.39,1.02,2.79,6791.53,14.64,113.59,2710.66,632.6,2.54,1.25,1.96,0,5.68,17.77,3.76,0,13.59,1.38,279.44,0,27.88,8.88,7.67,15.16
 60-70,0,0.57,0,737.14,0.95,0,136.38,0.97,111.83,337.26,88.99,0,0,71.4,16.34,6.77,0.93,0,14.95,0,8786.08,13.95,251.86,1667.07,330.05,0,0.9,7.28,0,36.35,9.05,0,3.48,8.7,0,76.16,1.23,200.39,9.33,106.72,10.38
 72-82,0,0.68,0,843.02,6.31,0,511.69,8.68,89.97,717.4,180.59,5.9,0,109.38,10.55,1.58,7.11,19.75,0.96,6.69,13259.98,19.45,384.83,1975.22,594.21,0,10.02,1.82,1.13,78.01,20.86,8.75,0,3.48,0,85.66,2.35,374.58,28.17,415.87,40.18
 84-94,0,0,0,1809.23,14.72,2.78,537.78,1.33,137.81,364.07,134.33,6.79,0,77.18,3.62,4.2,12.81,1.91,5.44,6.03,9948.98,7.47,453.76,1293.99,298.51,8.86,2.43,2.6,0,77.06,18.55,0,3.47,4.33,0,48.26,12.1,338.18,16.46,419.36,31.81
 96-106,0,0,0,1880.13,38.74,2.3,443.81,4.56,119.95,384.11,134.69,18.2,0,133.47,12.55,8.61,13.03,3.88,12.38,2.2,10965.32,20.13,451.69,1212.42,692.06,1.8,11.45,0.84,0,145.89,37.22,0,7.11,3.76,0,43.24,5.14,352.17,54.99,509.72,19.19
108-118,0,0.98,1.46,1901.63,20.31,2.86,275.08,3.16,203.3,331.8,94.07,43.21,0,75.18,9.24,6.06,16.16,4.36,6.43,0,12558.92,9.08,410.24,1051.88,732.12,3.41,4.82,1.11,0,252.23,14.41,0,3.49,4.88,0,29.63,12.62,268.93,46.64,400.79,33.57
120,0,7.28,0,1283.41,3.76,20.9,239.94,0,111.09,275.3,58.7,16.06,0,55.18,5.03,0,3.25,2.64,20.2,0,10302.31,9.03,540.62,892.13,634.37,0,23.5,11.22,0,294.11,6.74,0,0,0,0,57.65,8.77,282.51,82,622.21,16.86
