stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.36,0,2.65,209.17,111.66,0,10,0,0,0,0,3.52,21.41,0,0,0,0,0,0,425.99,0,0,211.4,142.7,23.7,0,11.23,0,3.33,9.57,7.21,3.35,0,1.88,12.45,0,0,66.1,0,0
 24-34,0,0,1.31,1.23,159.64,7.43,0,61.42,0,5.75,1.5,3.15,0,55.07,0,0,2.15,0.79,0,2.03,811.75,0,8.52,250.15,285.22,24.92,0,11.67,0,2.11,0.86,1.1,1.98,1.68,3.15,38.37,0,0,338.5,0,3.64
 36-46,0,0,0,0,158.66,4.14,0,131.21,0,4.29,6.74,14.22,0,48.57,0,0,53.16,0,1.94,36.83,1125.03,1.76,26.47,224.72,262.28,23.62,1.19,1.3,0.77,2.2,1.46,0.9,0,0,0,27.65,0,2.84,188.76,1.55,24.51
 48-58,0.58,0,0,0,100.47,3.17,0,128.13,0.9,17.77,7.36,24.24,3.21,58.59,0,0,78.29,0,5.55,46.18,1007.9,0.52,44.5,127.64,267.3,17,0.79,5.8,19.02,2.76,0,0,0,0,0,17.86,0,1.22,141.37,1.56,22.24
 60-70,0.81,0,0,0,102.38,4.64,0,124.59,0,35.53,12.45,67.73,0.69,46.24,2.38,8.09,112.51,0,0,37.89,1424.11,0.74,58.45,117.77,172.18,4.28,1.29,0,15.1,9.26,0,0,0,0,0,13.1,0,19.85,84.84,9.55,64.2
 72-82,0,0,1.86,0,65.62,6.12,0,95.95,2.45,16.58,13.3,89.83,1.1,47.45,0,0,103.03,0,5.04,3.79,1192.19,3.33,125.2,79.51,146.63,2.78,0,13.84,21.32,2.02,0,4.38,3.22,0,0,9.11,2.58,6.58,184.45,33.73,19.24
 84-94,0,0,1.05,0,136.37,5.92,0,176.93,0,54.56,10.64,71.24,1.69,30.47,4.79,0.68,209.64,0,0,43.65,1141.56,0,113.59,49.1,112.63,8.6,0.6,6.05,10.58,13.82,0,0,5.72,0,0,1.5,0,14.57,152.79,60.72,19.44
 96-106,0,0,0,0,75.31,12.52,0,198.78,5.38,36.67,17.3,135.06,4.46,30.09,2.34,1.66,301.66,1.17,16.09,17.6,904.86,0,80.37,28.25,187.62,5.55,3.81,9.66,30.1,11.81,0,0,1.63,0,0,4.53,0.67,12.28,205.29,57.49,31.84
108-118,0,0,0.41,0,123.43,9.43,0,108.92,2.21,32.72,5.68,156.07,0.95,24.53,0,1.09,500.66,0.87,8.57,33.73,848.7,0.49,93.99,25.67,130.78,15.61,6.89,8.73,41.13,2.84,0.63,0,2.95,0,0,3.8,0,16.56,181.06,63.96,33.19
120,0,0,0,0,64.09,1.88,15.5,81.28,0,22.33,1.49,138.83,1.77,13.23,5.87,0,334.62,0,3.71,12.56,945.86,0,113.79,19.36,212.89,21.08,1.11,9.69,57.59,11.33,0,0,0,0,0,0,2.31,10.79,206.94,64.01,0
