stage,eye,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,vasculature
 10-12,0,0,0,0,13.08,0,0
 14-21,0,0,1.25,1.74,1.21,0,0
 24-34,0.7,0,0,0.65,0,0,0
 36-46,0,0,0,0,0,0,2.7
 48-58,0.64,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.13,0
 72-82,0,0.92,0,0,0,0,0
108-118,0,0,0,0.91,0,1.22,0
