stage,eye,glial,neural,periderm,somites,spinal_cord,vasculature
 14-21,0,0,1.11,0,1.85,0,0
 24-34,0,2.57,1,0,0,0,0.64
 36-46,1.04,0,1.75,0,0,0.83,0
 60-70,8.34,4.32,1.14,0,0,0,0
 72-82,0,0,1.46,1.11,0,0,0
 84-94,0,0,0,0,0,2.57,0
108-118,1.55,0,8.88,0,0,0,0
