stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,7.75,0,0,10.21,0,0,0,3.59,0,1.26,0,0,0,0,0,0,3.58,0,0,2.21,54.53,0,0,0,1.98,4.12,9.62,0,12.28,19.44,0,0
 24-34,6.13,1.03,0,7.22,0,0,0,1.8,0.71,0.67,0,0,0,0.82,0,0,8.35,0,0,3.1,96.34,1,0,0.73,0,1.87,0,0,4.9,22.8,0,0
 36-46,0,0,0,16.66,0,0,0,1.37,0,0,0,0,0,0,0,0.63,0.88,0,0,1.57,34.92,0,0,0,0,2.63,0,0,0,5.09,1.77,0
 48-58,14.59,0,0,29.91,0,14.44,0.98,5.9,10.26,0,21.2,0,3.58,0.46,1.34,0,7.91,0,4.24,4.55,111.82,0,0,0,0,16.8,0,0,0,5.35,4.61,0
 60-70,0.91,0,0,13.95,3.43,0,0,3.16,9.97,0,12.77,3.46,4.57,0,2.98,0,16.25,0,8.24,9.41,38.3,0,0,2.77,0,12.16,0,3.95,0,0,0,0
 72-82,1.09,0,0,9.89,0,0.5,1.54,8.09,0.99,0,0,0.71,0,0,0,0,22.21,0,0,3.25,14.7,1,0,1.06,0,1.95,0,0,0,5.65,3.72,0
 84-94,0.87,0.71,1.17,0.83,0,0,1.42,1.12,0.95,0,3.34,0,0,1.46,0,0.73,8.75,0,0,3.61,7.54,0,0,0,0,8.47,0,0,0,0,0,0
 96-106,0.73,0,1.22,1.23,0,0,0,4.61,1.1,0,0,0,0,0,0,0,12,0,2.42,0,4.19,0,0,0,0,4.28,0,0,0,0,0.92,0
108-118,8.83,1.93,0,19.54,0,3.44,4.21,1.48,2.86,0,3.78,0.48,0.63,1.36,3.02,0,26.96,0,0,2.89,29.71,0.77,0.66,0,0,10.08,0,0.52,0,0,5.98,1.05
120,19.37,15.04,0,12.84,0,4.67,0,5.41,0,7.84,18.38,1.61,0,0,0,0,37.48,2.91,14.32,15.23,71.32,0,15.9,3.98,0,17.21,0,0,0,0,6.96,0
