stage,eye,glial,gut,mesenchyme,neural,notochord,olfactory,periderm,vasculature
 36-46,0,0,0,0,0,0,115.04,0,0
 48-58,0,0,0,0,0,1,36.39,0,0
 60-70,2,0,0,0,1.12,0,191.3,0.62,0
 72-82,0,0,0,0.84,1.06,0,97.85,0,3
 84-94,0,0,0,0,3.38,0,16.78,0,0
 96-106,0,0,0,1.39,5.94,0,30.67,0,0
108-118,3.55,1.24,0.53,4.21,2.06,0,60.59,0,0
120,0,0,0,0,8.83,0,36.68,0,0
