stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.94,0.94,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,1.64,0,0,0,2.68,0,0,0
 72-82,0,0,0,0,30.25,5.75,0,0.78,0,0,0,0,0,0,7.03,0,0,0,0,0,0.72,0
 84-94,0,0,0,0,52.97,1.37,0,2.74,0,0,0,0,0,2.1,5.46,0,0,10.07,0,0,0,0
 96-106,0,0,0.62,0,268.71,7.11,0,0.96,0,1.23,3.41,0,0.73,8.6,24.49,0,0,2.84,0,1.79,1.22,0
108-118,0,0,0,12.23,627.67,8.92,1.03,10.59,0,1.79,0,1.07,0,2.62,22.2,0,0,6.74,0,0,0,12.03
120,0,0,3.38,21.43,193.15,6.68,0,0,1.31,0,0,0,0,4.3,21.17,0,0,1.64,7.58,0,0,0
