stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,17.1,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,5.16,0.91,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0.71,0,1.68
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,7.1,0,0,0,0,0,0,0,2.02,0,4.26
 48-58,0,0,0,10.23,0,0,0,0,0,0,0,0,0,0,10.07,0,0.79,0,0,0,0,0,0.59,0.92,5.64
 60-70,0,0,0,142.06,0,0,0,0,0,0,0,0,4.81,0,8.55,0,6.14,0,0,0,0,0,1.65,0,31.27
 72-82,0,0.97,0,613.12,0,0,7.34,0,0,0,0,0,3.14,0,35.13,0,11.95,0,0,0,0,0.63,0,0,34.2
 84-94,0,2.04,0,433.98,0,0,1.06,0,0,0,0,0,1.55,0,43.14,0.67,5.7,0.74,0,1.37,0,0,0.77,0.78,23.18
 96-106,0,0,3.78,727.2,0.68,0,9.18,0.56,0,0,17.56,5.57,2.17,0,43.76,0,0,2.04,0,0.65,0,0,2.82,1.86,29.02
108-118,0,3.11,3.63,644.22,1.19,1.43,18.7,0,2.66,2.63,0,1.67,3.58,0,23.93,1.23,5.15,3.35,0,0,0,1.48,0,0,36.07
120,0,8.8,0,466.69,0,0,15.88,0,0,0,0,0,2.5,0,69.12,0,2.65,3.4,0,7.86,0,0,2.03,11.7,0
