stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,46.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0
  5-6,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,5.8,0,0,0,0,0,0,8.13,0,8.09,11.21,2.35,0,0,0,0
 24-34,0,0,2.17,0,0,1.52,0,0,0.62,0,0,0,0,2.83,0,0,0,0.69,0,0,0.67,19.56,0,3.06,0,0,0,7.76,0,1.46,0,7.25,0.92,0,1.69,0,0
 36-46,0,0,1.94,0,0,2.92,1.57,0,0,2.1,0,0,0,10.79,0,0,0.66,2.14,0,0,5.18,20.15,0,0,0,0,0,0.59,0,0,5.54,0,5.12,0,0,0,0
 48-58,0,0,2.14,0,0,1.65,3.73,1.35,0.45,1.44,0,0,0,1.67,0,0,0,10.26,1.32,0,2.82,19.45,0,0,0,0,0,0,0,0,7.66,0,3.11,0,4.96,0,0
 60-70,0,0,0,0,0,20.95,5.41,0,0.93,12.1,0,0,0,0,0,0,0,24.25,0,0,8.76,23.8,0,0.89,0,0,0,0,0,0,5.86,0,1.24,0.82,1.09,0.98,7.68
 72-82,0,0.57,1.74,0,0,2.95,2.32,0.5,0.7,12.76,1.39,0,0,0.75,0,0,0,54.57,0,0,8.15,20.57,0,0,2,0,1.31,0,0,0,0,0,0.99,2.32,3.97,1.79,0
 84-94,0,0,6.53,0,0,4.55,2.94,0,0,6.67,2.43,0,0,3.15,1.25,1.49,0,50.38,0,0,2.51,10.88,0,0,1.29,0,0.57,0.89,0,0,7.92,0,1.27,0,5.72,2.27,0
 96-106,0,0,3.67,14.98,1.12,19.15,1.73,0,0.77,10.27,1.73,2.86,1.27,5.04,0,0,0,61.42,0,0,4.38,12.73,2.47,4.18,0,0,3.25,4.04,0,0.69,2.48,0,2.66,2.17,6.69,4.18,0
108-118,0,0,16.74,0,0,11.85,3.35,2.49,1.36,17.8,0.57,0.88,7.14,6.53,5.09,0,0,81.87,0,5.49,6.72,20.78,0,0,2.22,0,5.23,0.58,0,0.54,2.4,0,0.71,3.03,6.26,2.59,0
120,0,4.41,4.99,0,0,15.75,0,1.57,0,13.25,0,0,1.26,15.21,0,0,0,111.76,0,8.9,2.23,38.01,6.26,0,11.46,0,0,7.64,0,0,2.73,0,7.87,0,12.88,4.27,0
