stage,eye,fin_epithelia,glial,iridophores,mesenchyme,neural,olfactory,otic,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0.81,0,0
 24-34,0,0,0,0,0,7.28,0,0,0.92,0,0
 36-46,0,0,0,0,0,4.79,0,0,0.78,0,0
 48-58,0.38,3.4,2.14,0,0.56,2.84,0.97,0,0.75,0,0
 60-70,1.2,0,0.78,0,9.98,1.03,0,0,0,0,0
 72-82,2.13,0,0,0,3.4,1.58,0,0,0,0,4.1
 84-94,0,0,0,2.32,0,14.49,0,0,0,0,0
 96-106,5.31,0,0,0,0,0,0,1.1,0,0,0
108-118,4.32,0,1.1,0,0,1.94,0,0,0,0.59,0
120,9.84,0,0,0,0,35.11,0,0,0,0,0
