stage,eye,glial,gut,ionocyte,mesenchyme,neural,periderm,taste
  7-9,0,0,0,0,0,11.66,0,0
 36-46,3.21,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.18,1.73,0
 60-70,0,1.86,0,1.02,0,0,2.89,0
 72-82,1.17,0,0,1.74,0,0,0.6,0
 84-94,0,0,0,0,0,0,13.15,0
 96-106,0,0,0,2.96,0,0,11.05,0
108-118,5.46,0,2.8,0.56,0.76,0,13.51,0.42
120,0,18.12,0,0,0,0,5.72,0
