stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,28.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.74,0,0,0,0,0,0,0,3.76,0,0,3.51,7.16,0,0,0,0,0,0
 10-12,0,0,0,11.68,0,0,0,0,0,0,0,37.05,15.06,0,0,0,0,0,0,9.81,0,0
 14-21,0,0.82,0,0,0,2.42,0,0,0,0,0,6.92,0,0,0,0,1.19,0,1.21,1.08,0,0
 24-34,0,0,0,0,0,1.65,0,0.65,0,0,2.73,6.26,0,5.73,0,0,0,0,0.99,4.09,0,0
 36-46,0,0,0,1.01,0,0,0,0,0.63,0,1.61,13.02,1.12,0,0,2.37,0,0,0,2.94,0,0
 48-58,0,0,0,2.67,0,0,0,0.56,0,0,0,5.2,0,0,0,0.68,0,0,0,1.13,0,0.82
 60-70,0,0,0.58,1,0,0,0,0,0,0,0,4.29,0,2.84,0,0,0,0,0,0,0.81,0
 72-82,0,0,0,5.07,0,1.86,0,4.67,0,0,0,18.33,0,0,0,0.74,0,0,0,0,0,0
 84-94,0,0.68,0,4.53,0,3.58,0,2.8,0,0.73,0,12.89,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.1,0,2.16,0,5.41,0.58,8.71,0,0,0,15.66,0,0,0,2.77,0,0.7,0,0,0,0
108-118,0,0,0,25.83,1.1,0,0,4.78,0,1.16,0,15.38,0,0,0,5.68,0,0,0,1.14,0,0
120,0,0,0,5.82,0,0,0,14.94,0,0,0,28.73,0,0,0,1.68,0,0,0,0,0,0
